market,log_loss,brier,accuracy,n_features,n_keep,n_drop,csv,keep_file,drop_file,df_importance
over_under,0.6815156890188442,0.24410285409029372,0.5723951285520974,21,19,2,resultados\feature_importance_binarios\feature_importance_over_under.csv,resultados\feature_importance_binarios\features_keep_over_under.txt,resultados\feature_importance_binarios\features_drop_over_under.txt,"                feature  intrinsic  perm_mean  perm_std  intrinsic_pct  perm_pct_pos  rank  drop_recommended
0             AT_Shots5   0.054794   0.004351  0.002098       5.479431     23.521539     1             False
1              Elo_Diff   0.063949   0.002409  0.002322       6.394859     13.020795     2             False
2         AT_BTTS_Rate5   0.022629   0.002102  0.001883       2.262929     11.360088     3             False
3       HT_xG_Residual5   0.059821   0.002096  0.000975       5.982111     11.330349     4             False
4            AT_xGA_Avg   0.058659   0.002050  0.001564       5.865879     11.080648     5             False
5            HT_xGA_Avg   0.062892   0.001534  0.001563       6.289194      8.292421     6             False
6   H2H_Total_Goals_Avg   0.042555   0.001438  0.000929       4.255540      7.770559     7             False
7           AT_AvgGoals   0.032049   0.000712  0.000765       3.204873      3.848982     8             False
8                HT_Elo   0.064903   0.000648  0.001553       6.490337      3.500301     9             False
9         H2H_BTTS_Rate   0.028600   0.000544  0.000804       2.860014      2.938424    10             False
10              xG_Diff   0.055407   0.000368  0.001007       5.540671      1.988892    11             False
11         AT_Days_Rest   0.055116   0.000228  0.001109       5.511625      1.232084    12             False
12      AT_ShotsTarget5   0.045472   0.000021  0.001813       4.547203      0.114919    13             False
13    AT_AvgShotsTarget   0.040733  -0.000300  0.000788       4.073305      0.000000    14             False
14    HT_AvgShotsTarget   0.043255  -0.000315  0.000981       4.325538      0.000000    15             False
15            HT_xG_Avg   0.057448  -0.000411  0.002457       5.744792      0.000000    16             False
16            AT_xG_Avg   0.055519  -0.000411  0.000797       5.551939      0.000000    17             False
17        HT_BTTS_Rate5   0.019772  -0.000675  0.000475       1.977178      0.000000    18              True
18             xG_Total   0.058183  -0.000705  0.002547       5.818313      0.000000    19             False
19          HT_AvgGoals   0.034899  -0.001156  0.001197       3.489942      0.000000    20             False
20      HT_ShotsTarget5   0.043343  -0.002614  0.001166       4.334325      0.000000    21              True"
tarjetas,0.678985653004411,0.24299868194337274,0.5656292286874154,17,16,1,resultados\feature_importance_binarios\feature_importance_tarjetas.csv,resultados\feature_importance_binarios\features_keep_tarjetas.txt,resultados\feature_importance_binarios\features_drop_tarjetas.txt,"                           feature  intrinsic  perm_mean  ...  perm_pct_pos  rank  drop_recommended
0   Ref_Aggressiveness_Interaction   0.088096   0.003683  ...     31.769034     1             False
1                    HT_YellowAvg5   0.053793   0.001827  ...     15.759460     2             False
2                   H2H_Yellow_Avg   0.060847   0.001644  ...     14.179006     3             False
3                        Rest_Diff   0.063582   0.001115  ...      9.616326     4             False
4                        AT_Form_L   0.055616   0.000988  ...      8.518448     5             False
5              Ref_Cards_Total_Avg   0.051394   0.000735  ...      6.336373     6             False
6                    HT_YellowFor5   0.055779   0.000548  ...      4.726992     7             False
7                     AT_Days_Rest   0.051686   0.000490  ...      4.224293     8             False
8                        HT_Form_D   0.051496   0.000154  ...      1.330822     9             False
9                        HT_Form_L   0.052071   0.000154  ...      1.330387    10             False
10                  Ref_Yellow_Avg   0.076190   0.000141  ...      1.215338    11             False
11                     AT_RedRate5   0.045195   0.000097  ...      0.839029    12             False
12                   AT_YellowAvg5   0.055203   0.000018  ...      0.154491    13             False
13                       AT_Form_D   0.052115  -0.000051  ...      0.000000    14             False
14                    HT_Days_Rest   0.056590  -0.000306  ...      0.000000    15             False
15                       AT_Form_W   0.065607  -0.000367  ...      0.000000    16             False
16                     HT_RedRate5   0.064741  -0.000878  ...      0.000000    17              True

[17 rows x 8 columns]"
corners,0.6813464632408153,0.24409308459514711,0.577807848443843,19,16,3,resultados\feature_importance_binarios\feature_importance_corners.csv,resultados\feature_importance_binarios\features_keep_corners.txt,resultados\feature_importance_binarios\features_drop_corners.txt,"                  feature  intrinsic  perm_mean  ...  perm_pct_pos  rank  drop_recommended
0       HT_AvgShotsTarget   0.059500   0.002823  ...     28.052470     1             False
1               AT_xG_Avg   0.082395   0.002165  ...     21.512605     2             False
2        HT_CornersTotal5   0.066432   0.001964  ...     19.509265     3             False
3             HT_Pressure   0.045133   0.001239  ...     12.313344     4             False
4               AT_Form_W   0.022502   0.001039  ...     10.324297     5             False
5                  HT_Elo   0.080738   0.000567  ...      5.629633     6             False
6               AT_Form_L   0.022813   0.000166  ...      1.652226     7             False
7          HT_CornersFor5   0.059995   0.000073  ...      0.722519     8             False
8       AT_AvgShotsTarget   0.055914   0.000029  ...      0.283641     9             False
9             AT_AvgGoals   0.042521  -0.000124  ...      0.000000    10             False
10               Elo_Diff   0.085223  -0.000275  ...      0.000000    11             False
11              HT_Form_L   0.024290  -0.000276  ...      0.000000    12             False
12              AT_Fouls5   0.069201  -0.000351  ...      0.000000    13             False
13          Position_Diff   0.050377  -0.000358  ...      0.000000    14             False
14              HT_Form_W   0.021372  -0.000527  ...      0.000000    15             False
15            AT_Position   0.047558  -0.001237  ...      0.000000    16             False
16  Corner_Dominance_Diff   0.072118  -0.002704  ...      0.000000    17              True
17            HT_AvgGoals   0.045431  -0.002845  ...      0.000000    18              True
18            HT_Position   0.046487  -0.003920  ...      0.000000    19              True

[19 rows x 8 columns]"
