feature,intrinsic,perm_mean,perm_std,intrinsic_pct,perm_pct_pos,rank,drop_recommended
HT_AvgShotsTarget,0.05950017046739002,0.0028233422297527233,0.0018836391012674977,5.950017046739002,28.05247036333866,1,False
AT_xG_Avg,0.08239454807502751,0.002165137129196615,0.0015225299398367962,8.239454807502751,21.512604639031576,2,False
HT_CornersTotal5,0.06643202125984544,0.0019635108982901106,0.001892866663749365,6.643202125984544,19.509264835811273,3,False
HT_Pressure,0.045133073029051285,0.0012392771194353446,0.0014698576711389322,4.513307302905129,12.313344198435523,4,False
AT_Form_W,0.022502070230936245,0.0010390893627334695,0.0005265130936336632,2.2502070230936244,10.32429694344708,5,False
HT_Elo,0.0807379058403452,0.0005665947097346358,0.001874412291287639,8.07379058403452,5.629633253580958,6,False
AT_Form_L,0.022813109902754723,0.00016628836688418192,0.0010310785026653969,2.2813109902754722,1.6522260158999769,7,False
HT_CornersFor5,0.0599954884289023,7.271795436960548e-05,0.0012344444048422191,5.99954884289023,0.7225189487618838,8,False
AT_AvgShotsTarget,0.055913631379350556,2.8547042136706223e-05,0.0008137877576067288,5.591363137935056,0.283640801693059,9,False
AT_AvgGoals,0.04252083220533624,-0.000123507968355141,0.0009438849475064009,4.252083220533624,0.0,10,False
Elo_Diff,0.08522287252295017,-0.00027549830477995306,0.0019422694217405675,8.522287252295017,0.0,11,False
HT_Form_L,0.024290063780097997,-0.00027559703910832176,0.0010080980277546547,2.4290063780097997,0.0,12,False
AT_Fouls5,0.06920062481663761,-0.00035109900737143593,0.001837235413804694,6.920062481663761,0.0,13,False
Position_Diff,0.050376979342879276,-0.0003577879161615671,0.0028599855240998093,5.037697934287928,0.0,14,False
HT_Form_W,0.02137223808846987,-0.0005265362186838152,0.00092753338125779,2.137223808846987,0.0,15,False
AT_Position,0.04755815316316069,-0.001237060294415615,0.0014835862731268454,4.7558153163160695,0.0,16,False
Corner_Dominance_Diff,0.07211794599387543,-0.0027043743405038233,0.0016063286256024969,7.2117945993875425,0.0,17,True
HT_AvgGoals,0.045430832771435406,-0.0028445070029286647,0.001078853033658947,4.54308327714354,0.0,18,True
HT_Position,0.04648743870155408,-0.003920128244805965,0.0009668065245210546,4.648743870155408,0.0,19,True
