feature,intrinsic,perm_mean,perm_std,intrinsic_pct,perm_pct_pos,rank,drop_recommended
AT_Shots5,0.054794312736613664,0.004351361584159485,0.0020975755786631083,5.479431273661368,23.521538902533482,1,False
Elo_Diff,0.06394858699401924,0.0024087789473887346,0.002321648941092108,6.394858699401926,13.020795128785407,2,False
AT_BTTS_Rate5,0.02262928858682531,0.002101556827728668,0.0018833038303132572,2.2629288586825314,11.360088037559175,3,False
HT_xG_Residual5,0.05982111287622134,0.002096055301536404,0.0009753459863681451,5.982111287622136,11.330349216766686,4,False
AT_xGA_Avg,0.058658792994809784,0.0020498618554096516,0.0015644030890139666,5.86587929948098,11.080647848793063,5,False
HT_xGA_Avg,0.06289194362708282,0.001534054560626641,0.0015633968316604017,6.289194362708283,8.292421424536327,6,False
H2H_Total_Goals_Avg,0.04255540330624813,0.0014375126827648077,0.0009289861303902652,4.255540330624814,7.7705586714805195,7,False
AT_AvgGoals,0.032048727737191716,0.0007120414676163756,0.0007652454115793481,3.2048727737191722,3.8489816938508317,8,False
HT_Elo,0.06490337173706745,0.0006475373148869257,0.0015526160511113581,6.490337173706746,3.500300733085814,9,False
H2H_BTTS_Rate,0.02860014292341391,0.0005435930202275952,0.0008035750200807747,2.8600142923413916,2.938423784172567,10,False
xG_Diff,0.055406710437282444,0.0003679345816359536,0.0010068759601399827,5.540671043728246,1.9888918464148173,11,False
AT_Days_Rest,0.05511625165689043,0.0002279291052017185,0.001108629400003864,5.511625165689044,1.2320840756003164,12,False
AT_ShotsTarget5,0.045472029886051,2.125934624849224e-05,0.0018129778720862954,4.5472029886051,0.11491863642100206,13,False
AT_AvgShotsTarget,0.04073305088823904,-0.00030045944352480314,0.0007879161373558597,4.073305088823904,0.0,14,False
HT_AvgShotsTarget,0.0432553800733519,-0.0003146224288424593,0.0009812698858381673,4.32553800733519,0.0,15,False
HT_xG_Avg,0.05744792019128437,-0.00041056957259916205,0.002457073004646747,5.744792019128439,0.0,16,False
AT_xG_Avg,0.055519389460383727,-0.0004106153624700348,0.0007970892717694217,5.551938946038374,0.0,17,False
HT_BTTS_Rate5,0.019771784202255328,-0.0006750496529413618,0.0004749884664747784,1.9771784202255331,0.0,18,True
xG_Total,0.05818312671779202,-0.0007052429491345325,0.0025466754744841724,5.8183126717792035,0.0,19,False
HT_AvgGoals,0.03489941918206002,-0.0011562609211446472,0.001196843246363128,3.4899419182060027,0.0,20,False
HT_ShotsTarget5,0.04334325378491614,-0.0026137247312566503,0.0011661916053884937,4.334325378491615,0.0,21,True
