fecha,local,visitante,resultado_predicho,prob_modelo,cuota_apertura,cuota_cierre,prob_apertura_fair,prob_cierre_fair,clv,edge_vs_apertura,edge_vs_cierre,resultado_real,acierto,stake,cuota_apostada,pnl,pnl_acumulado,timestamp
2016-08-19 00:00:00,Man United,Southampton,Local,0.625,1.53,1.53,0.6376,0.6394,0.0018,-0.0126,-0.0144,0,True,10.0,1.53,5.3,82.3,2026-03-14T00:34:32.988471
2016-08-20 00:00:00,Swansea,Hull,Local,0.481,1.8,1.86,0.5426,0.5264,-0.0162,-0.0616,-0.0454,2,False,10.0,1.8,-10.0,72.3,2026-03-14T00:34:32.990261
2016-08-20 00:00:00,Watford,Chelsea,Visitante,0.7299,1.73,1.66,0.565,0.5908,0.0257,0.1648,0.1391,2,True,10.0,1.73,7.3,79.6,2026-03-14T00:34:32.992476
2016-08-20 00:00:00,Tottenham,Crystal Palace,Local,0.7733,1.45,1.47,0.6727,0.6655,-0.0072,0.1006,0.1078,0,True,10.0,1.45,4.5,84.1,2026-03-14T00:34:32.996698
2016-08-20 00:00:00,West Brom,Everton,Visitante,0.5964,2.6,2.63,0.375,0.3726,-0.0024,0.2214,0.2237,2,True,10.0,2.6,16.0,100.1,2026-03-14T00:34:33.001684
2016-08-20 00:00:00,Stoke,Man City,Visitante,0.7162,1.73,1.58,0.565,0.6191,0.0541,0.1512,0.0971,2,True,10.0,1.73,7.3,107.4,2026-03-14T00:34:33.004818
2016-08-20 00:00:00,Leicester,Arsenal,Empate,0.5443,3.6,3.5,0.271,0.28,0.009,0.2733,0.2644,1,True,10.0,3.6,26.0,133.4,2026-03-14T00:34:33.009088
2016-08-20 00:00:00,Burnley,Liverpool,Visitante,0.5861,1.57,1.51,0.6191,0.6491,0.03,-0.033,-0.063,0,False,10.0,1.57,-10.0,123.4,2026-03-14T00:34:33.015658
2016-08-21 00:00:00,Sunderland,Middlesbrough,Visitante,0.5622,3.1,2.94,0.314,0.3331,0.0191,0.2482,0.2291,2,True,10.0,3.1,21.0,144.4,2026-03-14T00:34:33.020795
2016-08-21 00:00:00,West Ham,Bournemouth,Local,0.6051,1.95,2.48,0.4981,0.395,-0.1031,0.107,0.2101,0,True,10.0,1.95,9.5,153.9,2026-03-14T00:34:33.026442
2016-08-27 00:00:00,Southampton,Sunderland,Empate,0.5287,3.6,4.75,0.26,0.2063,-0.0536,0.2687,0.3224,1,True,10.0,3.6,26.0,179.9,2026-03-14T00:34:33.035827
2016-08-27 00:00:00,Watford,Arsenal,Visitante,0.6822,1.73,1.63,0.5533,0.6011,0.0478,0.1289,0.0811,2,True,10.0,1.73,7.3,187.2,2026-03-14T00:34:33.039596
2016-08-27 00:00:00,Leicester,Swansea,Local,0.7049,1.73,1.69,0.5525,0.5797,0.0273,0.1524,0.1251,0,True,10.0,1.73,7.3,194.5,2026-03-14T00:34:33.042457
2016-08-27 00:00:00,Tottenham,Liverpool,Empate,0.6241,3.4,3.37,0.2807,0.2907,0.01,0.3433,0.3334,1,True,10.0,3.4,24.0,218.5,2026-03-14T00:34:33.048035
2016-08-27 00:00:00,Everton,Stoke,Local,0.6422,1.73,1.68,0.5525,0.5842,0.0318,0.0897,0.058,0,True,10.0,1.73,7.3,225.8,2026-03-14T00:34:33.053255
2016-08-27 00:00:00,Crystal Palace,Bournemouth,Empate,0.4927,3.2,3.36,0.2975,0.2916,-0.006,0.1952,0.2012,1,True,10.0,3.2,22.0,247.8,2026-03-14T00:34:33.058048
2016-08-27 00:00:00,Hull,Man United,Visitante,0.7034,1.44,1.45,0.6531,0.6767,0.0236,0.0504,0.0268,2,True,10.0,1.44,4.4,252.2,2026-03-14T00:34:33.062166
2016-08-27 00:00:00,Chelsea,Burnley,Local,0.8249,1.25,1.25,0.763,0.7865,0.0235,0.0618,0.0383,0,True,10.0,1.25,2.5,254.7,2026-03-14T00:34:33.066768
2016-08-28 00:00:00,Man City,West Ham,Local,0.8741,1.25,1.26,0.7564,0.7758,0.0194,0.1177,0.0983,0,True,10.0,1.25,2.5,257.2,2026-03-14T00:34:33.069840
2016-08-28 00:00:00,West Brom,Middlesbrough,Empate,0.5025,3.1,3.1,0.3066,0.3161,0.0095,0.1959,0.1864,1,True,10.0,3.1,21.0,278.2,2026-03-14T00:34:33.072741
2016-09-10 00:00:00,Arsenal,Southampton,Local,0.575,1.57,1.63,0.6191,0.6023,-0.0168,-0.044,-0.0273,0,True,10.0,1.57,5.7,283.9,2026-03-14T00:34:33.077850
2016-09-10 00:00:00,Bournemouth,West Brom,Local,0.5969,2.05,2.12,0.4752,0.462,-0.0132,0.1217,0.1349,0,True,10.0,2.05,10.5,294.4,2026-03-14T00:34:33.082881
2016-09-10 00:00:00,Burnley,Hull,Empate,0.5285,3.1,3.14,0.3148,0.3122,-0.0026,0.2137,0.2163,1,True,10.0,3.1,21.0,315.4,2026-03-14T00:34:33.086010
2016-09-10 00:00:00,Liverpool,Leicester,Local,0.763,1.7,1.68,0.5767,0.5824,0.0057,0.1864,0.1807,0,True,10.0,1.7,7.0,322.4,2026-03-14T00:34:33.088795
