Season,Date,Team,Comp,Venue,Opponent
2018-19,2018-09-26,Arsenal,EFL Cup,Home,Brentford
2018-19,2018-10-31,Arsenal,EFL Cup,Home,Blackpool
2018-19,2018-12-19,Arsenal,EFL Cup,Home,Tottenham
2018-19,2018-08-28,Bournemouth,EFL Cup,Home,MK Dons
2018-19,2018-09-25,Bournemouth,EFL Cup,Home,Blackburn
2018-19,2018-10-30,Bournemouth,EFL Cup,Home,Norwich
2018-19,2018-08-28,Brighton,EFL Cup,Home,Southampton
2018-19,2018-09-25,Burnley,EFL Cup,Away,Burton Albion
2018-19,2019-01-23,Burton Albion,EFL Cup,Home,Man City
2018-19,2018-08-28,Cardiff,EFL Cup,Home,Norwich
2018-19,2018-09-26,Chelsea,EFL Cup,Away,Liverpool
2018-19,2018-10-31,Chelsea,EFL Cup,Home,Derby County
2018-19,2018-12-19,Chelsea,EFL Cup,Home,Bournemouth
2018-19,2019-01-24,Chelsea,EFL Cup,Home,Tottenham
2018-19,2018-08-28,Crystal Palace,EFL Cup,Away,Swansea
2018-19,2018-09-25,Crystal Palace,EFL Cup,Away,West Brom
2018-19,2018-08-29,Everton,EFL Cup,Home,Rotherham
2018-19,2018-10-02,Everton,EFL Cup,Home,Southampton
2018-19,2018-08-28,Fulham,EFL Cup,Home,Exeter City
2018-19,2018-09-25,Fulham,EFL Cup,Away,Millwall
2018-19,2018-08-28,Huddersfield,EFL Cup,Away,Stoke
2018-19,2018-08-28,Leicester,EFL Cup,Home,Fleetwood Town
2018-19,2018-11-27,Leicester,EFL Cup,Home,Southampton
2018-19,2018-12-18,Leicester,EFL Cup,Home,Man City
2018-19,2018-09-26,Liverpool,EFL Cup,Home,Chelsea
2018-19,2018-09-25,Man City,EFL Cup,Away,Oxford United
2018-19,2018-11-01,Man City,EFL Cup,Home,Fulham
2018-19,2019-01-09,Man City,EFL Cup,Home,Burton Albion
2018-19,2019-02-24,Man City,EFL Cup,Away,Chelsea
2018-19,2018-09-25,Man United,EFL Cup,Home,Derby County
2018-19,2018-10-31,Middlesbrough,EFL Cup,Home,Crystal Palace
2018-19,2018-08-29,Newcastle,EFL Cup,Away,Nottingham Forest
2018-19,2018-08-28,Southampton,EFL Cup,Away,Brighton
2018-19,2018-09-26,Tottenham,EFL Cup,Home,Watford
2018-19,2019-01-08,Tottenham,EFL Cup,Home,Chelsea
2018-19,2018-08-29,Watford,EFL Cup,Away,Reading
2018-19,2018-08-28,West Ham,EFL Cup,Away,AFC Wimbledon
2018-19,2018-09-26,West Ham,EFL Cup,Home,Macclesfield
2018-19,2018-10-31,West Ham,EFL Cup,Home,Tottenham
2018-19,2018-08-28,Wolves,EFL Cup,Away,Sheffield Wednesday
2018-19,2018-09-25,Wolves,EFL Cup,Home,Leicester
