Season,Date,Team,Comp,Venue,Opponent
2023-24,2023-09-27,Arsenal,EFL Cup,Away,Brentford
2023-24,2023-11-01,Arsenal,EFL Cup,Away,West Ham
2023-24,2023-09-27,Aston Villa,EFL Cup,Home,Everton
2023-24,2023-08-29,Bournemouth,EFL Cup,Away,Swansea
2023-24,2023-09-27,Bournemouth,EFL Cup,Home,Stoke
2023-24,2023-11-01,Bournemouth,EFL Cup,Home,Liverpool
2023-24,2023-08-29,Brentford,EFL Cup,Away,Newport County
2023-24,2023-09-27,Brentford,EFL Cup,Home,Arsenal
2023-24,2023-09-27,Brighton,EFL Cup,Away,Chelsea
2023-24,2023-08-30,Burnley,EFL Cup,Away,Nott'm Forest
2023-24,2023-09-26,Burnley,EFL Cup,Away,Salford City
2023-24,2023-11-01,Burnley,EFL Cup,Away,Everton
2023-24,2023-08-09,Cardiff,EFL Cup,Home,Colchester
2023-24,2023-08-29,Cardiff,EFL Cup,Away,Birmingham
2023-24,2023-09-27,Cardiff,EFL Cup,Away,Blackburn
2023-24,2023-08-30,Chelsea,EFL Cup,Home,AFC Wimbledon
2023-24,2023-09-27,Chelsea,EFL Cup,Home,Brighton
2023-24,2023-11-01,Chelsea,EFL Cup,Home,Blackburn
2023-24,2023-12-19,Chelsea,EFL Cup,Home,Newcastle
2023-24,2024-01-09,Chelsea,EFL Cup,Away,Middlesbrough
2023-24,2024-01-23,Chelsea,EFL Cup,Home,Middlesbrough
2023-24,2024-02-25,Chelsea,EFL Cup,Home,Liverpool
2023-24,2023-08-29,Crystal Palace,EFL Cup,Away,Plymouth
2023-24,2023-09-26,Crystal Palace,EFL Cup,Away,Man United
2023-24,2023-08-30,Everton,EFL Cup,Away,Doncaster
2023-24,2023-09-27,Everton,EFL Cup,Away,Aston Villa
2023-24,2023-11-01,Everton,EFL Cup,Home,Burnley
2023-24,2023-12-19,Everton,EFL Cup,Home,Fulham
2023-24,2023-08-29,Fulham,EFL Cup,Home,Tottenham
2023-24,2023-09-27,Fulham,EFL Cup,Home,Norwich
2023-24,2023-11-01,Fulham,EFL Cup,Away,Ipswich
