Season,Date,Team,Comp,Venue,Opponent
2025-26,2025-09-24,Nott'm Forest,Europa Lg,Away,Real Betis
2025-26,2025-09-25,Aston Villa,Europa Lg,Home,Bologna
2025-26,2025-10-02,Aston Villa,Europa Lg,Away,Feyenoord
2025-26,2025-10-02,Nott'm Forest,Europa Lg,Home,FC Midtjylland
2025-26,2025-10-23,Aston Villa,Europa Lg,Away,Go Ahead Eagles
2025-26,2025-10-23,Nott'm Forest,Europa Lg,Home,FC Porto
2025-26,2025-11-06,Aston Villa,Europa Lg,Home,Maccabi Tel Aviv
2025-26,2025-11-06,Nott'm Forest,Europa Lg,Away,SK Sturm Graz
2025-26,2025-11-27,Aston Villa,Europa Lg,Home,BSC Young Boys
2025-26,2025-11-27,Nott'm Forest,Europa Lg,Home,Malmö FF
2025-26,2025-12-11,Aston Villa,Europa Lg,Away,Basel
2025-26,2025-12-11,Nott'm Forest,Europa Lg,Away,FC Utrecht
2025-26,2026-01-22,Aston Villa,Europa Lg,Away,Fenerbahçe
2025-26,2026-01-22,Nott'm Forest,Europa Lg,Away,Sporting Braga
2025-26,2026-01-29,Aston Villa,Europa Lg,Home,Red Bull Salzburg
2025-26,2026-01-29,Nott'm Forest,Europa Lg,Home,Ferencváros TC
2025-26,2026-02-19,Nott'm Forest,Europa Lg,Away,Fenerbahçe
2025-26,2026-02-26,Nott'm Forest,Europa Lg,Home,Fenerbahçe
2025-26,2026-03-12,Aston Villa,Europa Lg,Away,Lille
2025-26,2026-03-12,Nott'm Forest,Europa Lg,Home,FC Midtjylland
