Season,Date,Team,Comp,Venue,Opponent
2022-23,2023-01-09,Arsenal,FA Cup,Away,Oxford United
2022-23,2023-01-27,Arsenal,FA Cup,Away,Man City
2022-23,2023-01-08,Aston Villa,FA Cup,Home,Stevenage
2022-23,2023-01-07,Bournemouth,FA Cup,Home,Burnley
2022-23,2023-01-07,Brentford,FA Cup,Home,West Ham
2022-23,2023-01-07,Brighton,FA Cup,Away,Middlesbrough
2022-23,2023-01-29,Brighton,FA Cup,Home,Liverpool
2022-23,2023-02-28,Brighton,FA Cup,Away,Stoke
2022-23,2023-03-19,Brighton,FA Cup,Home,Grimsby
2022-23,2023-04-23,Brighton,FA Cup,Home,Man United
2022-23,2023-01-07,Burnley,FA Cup,Away,Bournemouth
2022-23,2023-01-28,Burnley,FA Cup,Away,Ipswich
2022-23,2023-02-07,Burnley,FA Cup,Home,Ipswich
2022-23,2023-03-01,Burnley,FA Cup,Home,Fleetwood Town
2022-23,2023-03-18,Burnley,FA Cup,Away,Man City
2022-23,2023-01-08,Cardiff,FA Cup,Home,Leeds
2022-23,2023-01-18,Cardiff,FA Cup,Away,Leeds
2022-23,2023-01-08,Chelsea,FA Cup,Away,Man City
2022-23,2023-01-07,Crystal Palace,FA Cup,Home,Southampton
2022-23,2023-01-06,Everton,FA Cup,Away,Man United
2022-23,2023-01-07,Fulham,FA Cup,Away,Hull
2022-23,2023-01-28,Fulham,FA Cup,Home,Sunderland
2022-23,2023-02-08,Fulham,FA Cup,Away,Sunderland
2022-23,2023-02-28,Fulham,FA Cup,Home,Leeds
2022-23,2023-03-19,Fulham,FA Cup,Away,Man United
2022-23,2023-01-07,Huddersfield,FA Cup,Away,Preston
2022-23,2023-01-07,Hull,FA Cup,Home,Fulham
2022-23,2022-11-07,Ipswich,FA Cup,Away,Bracknell Town
2022-23,2022-11-27,Ipswich,FA Cup,Home,Buxton
2022-23,2023-01-07,Ipswich,FA Cup,Home,Rotherham
2022-23,2023-01-28,Ipswich,FA Cup,Home,Burnley
2022-23,2023-02-07,Ipswich,FA Cup,Away,Burnley
2022-23,2023-01-08,Leeds,FA Cup,Away,Cardiff
