Season,Date,Team,Comp,Venue,Opponent
2019-20,2020-01-06,Arsenal,FA Cup,Home,Leeds
2019-20,2020-01-27,Arsenal,FA Cup,Away,Bournemouth
2019-20,2020-03-02,Arsenal,FA Cup,Away,Portsmouth
2019-20,2020-06-28,Arsenal,FA Cup,Away,Sheffield United
2019-20,2020-07-18,Arsenal,FA Cup,Away,Man City
2019-20,2020-08-01,Arsenal,FA Cup,Away,Chelsea
2019-20,2020-01-04,Aston Villa,FA Cup,Away,Fulham
2019-20,2020-01-04,Bournemouth,FA Cup,Home,Luton Town
2019-20,2020-01-27,Bournemouth,FA Cup,Home,Arsenal
2019-20,2020-01-04,Brighton,FA Cup,Home,Sheffield Wednesday
2019-20,2020-01-04,Burnley,FA Cup,Home,Peterborough United
2019-20,2020-01-25,Burnley,FA Cup,Home,Norwich
2019-20,2020-01-05,Chelsea,FA Cup,Home,Nottingham Forest
2019-20,2020-01-25,Chelsea,FA Cup,Away,Hull
2019-20,2020-03-03,Chelsea,FA Cup,Home,Liverpool
2019-20,2020-06-28,Chelsea,FA Cup,Away,Leicester
2019-20,2020-07-19,Chelsea,FA Cup,Away,Man United
2019-20,2020-08-01,Chelsea,FA Cup,Away,Arsenal
2019-20,2020-01-05,Crystal Palace,FA Cup,Home,Derby County
2019-20,2020-01-05,Everton,FA Cup,Away,Liverpool
2019-20,2020-01-04,Leicester,FA Cup,Home,Wigan Athletic
2019-20,2020-01-25,Leicester,FA Cup,Away,Brentford
2019-20,2020-03-04,Leicester,FA Cup,Home,Birmingham City
2019-20,2020-06-28,Leicester,FA Cup,Home,Chelsea
2019-20,2020-01-05,Liverpool,FA Cup,Home,Everton
2019-20,2020-01-26,Liverpool,FA Cup,Away,Shrewsbury Town
2019-20,2020-02-04,Liverpool,FA Cup,Home,Shrewsbury Town
2019-20,2020-03-03,Liverpool,FA Cup,Away,Chelsea
2019-20,2020-01-04,Man City,FA Cup,Home,Port Vale
2019-20,2020-01-26,Man City,FA Cup,Home,Fulham
2019-20,2020-03-04,Man City,FA Cup,Away,Sheffield Wednesday
2019-20,2020-06-28,Man City,FA Cup,Away,Newcastle
2019-20,2020-07-18,Man City,FA Cup,Away,Arsenal
2019-20,2020-01-04,Man United,FA Cup,Away,Wolves
2019-20,2020-01-15,Man United,FA Cup,Home,Wolves
2019-20,2020-01-26,Man United,FA Cup,Away,Tranmere Rovers
2019-20,2020-03-05,Man United,FA Cup,Away,Derby County
2019-20,2020-06-27,Man United,FA Cup,Away,Norwich
2019-20,2020-07-19,Man United,FA Cup,Away,Chelsea
2019-20,2020-01-04,Newcastle,FA Cup,Away,Rochdale
2019-20,2020-01-14,Newcastle,FA Cup,Home,Rochdale
2019-20,2020-01-25,Newcastle,FA Cup,Home,Oxford United
2019-20,2020-02-04,Newcastle,FA Cup,Away,Oxford United
2019-20,2020-03-03,Newcastle,FA Cup,Away,West Brom
2019-20,2020-06-28,Newcastle,FA Cup,Home,Man City
2019-20,2020-01-04,Norwich,FA Cup,Away,Preston North End
2019-20,2020-01-25,Norwich,FA Cup,Away,Burnley
2019-20,2020-03-04,Norwich,FA Cup,Away,Tottenham
2019-20,2020-06-27,Norwich,FA Cup,Home,Man United
2019-20,2020-01-05,Sheffield United,FA Cup,Home,AFC Fylde
2019-20,2020-01-25,Sheffield United,FA Cup,Away,Millwall
2019-20,2020-03-03,Sheffield United,FA Cup,Away,Reading
2019-20,2020-06-28,Sheffield United,FA Cup,Home,Arsenal
2019-20,2020-01-04,Southampton,FA Cup,Home,Huddersfield
2019-20,2020-01-25,Southampton,FA Cup,Home,Tottenham
2019-20,2020-02-05,Southampton,FA Cup,Away,Tottenham
2019-20,2020-01-05,Tottenham,FA Cup,Away,Middlesbrough
2019-20,2020-01-14,Tottenham,FA Cup,Home,Middlesbrough
2019-20,2020-01-25,Tottenham,FA Cup,Away,Southampton
2019-20,2020-02-05,Tottenham,FA Cup,Home,Southampton
2019-20,2020-03-04,Tottenham,FA Cup,Home,Norwich
2019-20,2020-01-04,Watford,FA Cup,Home,Tranmere Rovers
2019-20,2020-01-23,Watford,FA Cup,Away,Tranmere Rovers
2019-20,2020-01-05,West Ham,FA Cup,Away,Gillingham
2019-20,2020-01-25,West Ham,FA Cup,Home,West Brom
2019-20,2020-01-04,Wolves,FA Cup,Home,Man United
2019-20,2020-01-15,Wolves,FA Cup,Away,Man United
