Season,Date,Team,Comp,Venue,Opponent
2019-20,2019-09-17,Chelsea,Champions Lg,Home,Valencia CF
2019-20,2019-10-02,Chelsea,Champions Lg,Away,Lille OSC
2019-20,2019-10-23,Chelsea,Champions Lg,Away,AFC Ajax
2019-20,2019-11-05,Chelsea,Champions Lg,Home,AFC Ajax
2019-20,2019-11-27,Chelsea,Champions Lg,Away,Valencia CF
2019-20,2019-12-10,Chelsea,Champions Lg,Home,Lille OSC
2019-20,2020-02-25,Chelsea,Champions Lg,Home,Bayern München
2019-20,2020-08-08,Chelsea,Champions Lg,Away,Bayern München
2019-20,2019-09-17,Liverpool,Champions Lg,Away,SSC Napoli
2019-20,2019-10-02,Liverpool,Champions Lg,Home,RB Salzburg
2019-20,2019-10-23,Liverpool,Champions Lg,Away,KRC Genk
2019-20,2019-11-05,Liverpool,Champions Lg,Home,KRC Genk
2019-20,2019-11-27,Liverpool,Champions Lg,Home,SSC Napoli
2019-20,2019-12-10,Liverpool,Champions Lg,Away,RB Salzburg
2019-20,2020-02-18,Liverpool,Champions Lg,Away,Atlético Madrid
2019-20,2020-03-11,Liverpool,Champions Lg,Home,Atlético Madrid
2019-20,2019-09-18,Man City,Champions Lg,Away,Shakhtar Donetsk
2019-20,2019-10-01,Man City,Champions Lg,Home,Dinamo Zagreb
2019-20,2019-10-22,Man City,Champions Lg,Home,Atalanta
2019-20,2019-11-06,Man City,Champions Lg,Away,Atalanta
2019-20,2019-11-26,Man City,Champions Lg,Home,Shakhtar Donetsk
2019-20,2019-12-11,Man City,Champions Lg,Away,Dinamo Zagreb
2019-20,2020-02-26,Man City,Champions Lg,Away,Real Madrid
2019-20,2020-08-07,Man City,Champions Lg,Home,Real Madrid
2019-20,2020-08-15,Man City,Champions Lg,Home,Olympique Lyonnais
2019-20,2019-09-18,Tottenham,Champions Lg,Away,Olympiakos Piraeus
2019-20,2019-10-01,Tottenham,Champions Lg,Home,Bayern München
2019-20,2019-10-22,Tottenham,Champions Lg,Home,Crvena Zvezda
2019-20,2019-11-06,Tottenham,Champions Lg,Away,Crvena Zvezda
2019-20,2019-11-26,Tottenham,Champions Lg,Home,Olympiakos Piraeus
2019-20,2019-12-11,Tottenham,Champions Lg,Away,Bayern München
2019-20,2020-02-19,Tottenham,Champions Lg,Home,RB Leipzig
2019-20,2020-03-10,Tottenham,Champions Lg,Away,RB Leipzig
