Season,Date,Team,Comp,Venue,Opponent
2020-21,2020-10-20,Chelsea,Champions Lg,Home,Sevilla FC
2020-21,2020-10-28,Chelsea,Champions Lg,Away,FK Krasnodar
2020-21,2020-11-04,Chelsea,Champions Lg,Home,Stade Rennais
2020-21,2020-11-24,Chelsea,Champions Lg,Away,Stade Rennais
2020-21,2020-12-02,Chelsea,Champions Lg,Away,Sevilla FC
2020-21,2020-12-08,Chelsea,Champions Lg,Home,FK Krasnodar
2020-21,2021-02-23,Chelsea,Champions Lg,Away,Atlético Madrid
2020-21,2021-03-17,Chelsea,Champions Lg,Home,Atlético Madrid
2020-21,2021-04-07,Chelsea,Champions Lg,Away,FC Porto
2020-21,2021-04-13,Chelsea,Champions Lg,Home,FC Porto
2020-21,2021-04-27,Chelsea,Champions Lg,Away,Real Madrid
2020-21,2021-05-05,Chelsea,Champions Lg,Home,Real Madrid
2020-21,2021-05-29,Chelsea,Champions Lg,Away,Man City
2020-21,2020-10-21,Liverpool,Champions Lg,Away,AFC Ajax
2020-21,2020-10-27,Liverpool,Champions Lg,Home,FC Midtjylland
2020-21,2020-11-03,Liverpool,Champions Lg,Away,Atalanta
2020-21,2020-11-25,Liverpool,Champions Lg,Home,Atalanta
2020-21,2020-12-01,Liverpool,Champions Lg,Home,AFC Ajax
2020-21,2020-12-09,Liverpool,Champions Lg,Away,FC Midtjylland
2020-21,2021-02-16,Liverpool,Champions Lg,Away,RB Leipzig
2020-21,2021-03-10,Liverpool,Champions Lg,Home,RB Leipzig
2020-21,2021-04-06,Liverpool,Champions Lg,Away,Real Madrid
2020-21,2021-04-14,Liverpool,Champions Lg,Home,Real Madrid
2020-21,2020-10-21,Man City,Champions Lg,Home,FC Porto
2020-21,2020-10-27,Man City,Champions Lg,Away,Olympique Marseille
2020-21,2020-11-03,Man City,Champions Lg,Home,Olympiakos Piraeus
2020-21,2020-11-25,Man City,Champions Lg,Away,Olympiakos Piraeus
2020-21,2020-12-01,Man City,Champions Lg,Away,FC Porto
2020-21,2020-12-09,Man City,Champions Lg,Home,Olympique Marseille
2020-21,2021-02-24,Man City,Champions Lg,Away,Bor. Mönchengladbach
2020-21,2021-03-16,Man City,Champions Lg,Home,Bor. Mönchengladbach
2020-21,2021-04-06,Man City,Champions Lg,Home,Borussia Dortmund
2020-21,2021-04-14,Man City,Champions Lg,Away,Borussia Dortmund
2020-21,2021-04-28,Man City,Champions Lg,Away,Paris Saint-Germain
2020-21,2021-05-04,Man City,Champions Lg,Home,Paris Saint-Germain
2020-21,2021-05-29,Man City,Champions Lg,Home,Chelsea
2020-21,2020-10-20,Man United,Champions Lg,Away,Paris Saint-Germain
2020-21,2020-10-28,Man United,Champions Lg,Home,RB Leipzig
2020-21,2020-11-04,Man United,Champions Lg,Away,İstanbul Başakşehir
2020-21,2020-11-24,Man United,Champions Lg,Home,İstanbul Başakşehir
2020-21,2020-12-02,Man United,Champions Lg,Home,Paris Saint-Germain
2020-21,2020-12-08,Man United,Champions Lg,Away,RB Leipzig
