Season,Date,Team,Comp,Venue,Opponent
2017-18,2017-09-14,Arsenal,Europa Lg,Home,FC Koln
2017-18,2017-09-28,Arsenal,Europa Lg,Away,BATE Borisov
2017-18,2017-10-19,Arsenal,Europa Lg,Away,Red Star Belgrade
2017-18,2017-11-02,Arsenal,Europa Lg,Home,Red Star Belgrade
2017-18,2017-11-23,Arsenal,Europa Lg,Away,FC Koln
2017-18,2017-12-07,Arsenal,Europa Lg,Home,BATE Borisov
2017-18,2018-02-15,Arsenal,Europa Lg,Away,Ostersund
2017-18,2018-02-22,Arsenal,Europa Lg,Home,Ostersund
2017-18,2018-03-08,Arsenal,Europa Lg,Away,AC Milan
2017-18,2018-03-15,Arsenal,Europa Lg,Home,AC Milan
2017-18,2018-04-05,Arsenal,Europa Lg,Home,CSKA Moscow
2017-18,2018-04-12,Arsenal,Europa Lg,Away,CSKA Moscow
2017-18,2018-04-26,Arsenal,Europa Lg,Home,Atletico Madrid
2017-18,2018-05-03,Arsenal,Europa Lg,Away,Atletico Madrid
2017-18,2017-07-27,Everton,Europa Lg,Home,Ruzomberok
2017-18,2017-08-03,Everton,Europa Lg,Away,Ruzomberok
2017-18,2017-08-17,Everton,Europa Lg,Home,Hajduk Split
2017-18,2017-08-24,Everton,Europa Lg,Away,Hajduk Split
2017-18,2017-09-14,Everton,Europa Lg,Away,Atalanta
2017-18,2017-09-28,Everton,Europa Lg,Home,Apollon Limassol
2017-18,2017-10-19,Everton,Europa Lg,Home,Lyon
2017-18,2017-11-02,Everton,Europa Lg,Away,Lyon
2017-18,2017-11-23,Everton,Europa Lg,Home,Atalanta
2017-18,2017-12-07,Everton,Europa Lg,Away,Apollon Limassol
