Season,Date,Team,Comp,Venue,Opponent
2020-21,2020-12-22,Arsenal,EFL Cup,Home,Man City
2020-21,2020-09-15,Aston Villa,EFL Cup,Away,Burton Albion
2020-21,2020-10-01,Aston Villa,EFL Cup,Home,Stoke
2020-21,2020-09-17,Brighton,EFL Cup,Home,Portsmouth
2020-21,2020-09-23,Brighton,EFL Cup,Away,Preston
2020-21,2020-10-30,Brighton,EFL Cup,Home,Man United
2020-21,2020-09-17,Burnley,EFL Cup,Home,Sheffield United
2020-21,2020-09-23,Burnley,EFL Cup,Away,Millwall
2020-21,2020-09-30,Burnley,EFL Cup,Home,Man City
2020-21,2020-09-23,Chelsea,EFL Cup,Home,Barnsley
2020-21,2020-09-15,Crystal Palace,EFL Cup,Away,Bournemouth
2020-21,2020-09-16,Everton,EFL Cup,Home,Salford City
2020-21,2020-09-23,Everton,EFL Cup,Away,Fleetwood Town
2020-21,2020-09-30,Everton,EFL Cup,Home,West Ham
2020-21,2020-12-23,Everton,EFL Cup,Home,Man United
2020-21,2020-09-16,Fulham,EFL Cup,Away,Ipswich Town
2020-21,2020-09-23,Fulham,EFL Cup,Home,Sheffield Wednesday
2020-21,2020-09-16,Leeds,EFL Cup,Home,Hull
2020-21,2020-09-23,Leicester,EFL Cup,Home,Arsenal
2020-21,2020-09-24,Liverpool,EFL Cup,Away,Lincoln City
2020-21,2020-10-01,Liverpool,EFL Cup,Home,Arsenal
2020-21,2020-09-24,Man City,EFL Cup,Home,Bournemouth
2020-21,2021-04-25,Man City,EFL Cup,Away,Tottenham
2020-21,2020-09-22,Man United,EFL Cup,Away,Luton Town
2020-21,2021-01-06,Man United,EFL Cup,Home,Man City
2020-21,2020-09-15,Newcastle,EFL Cup,Home,Blackburn
2020-21,2020-09-16,Southampton,EFL Cup,Home,Brentford
2020-21,2020-09-29,Tottenham,EFL Cup,Away,Leyton Orient
2020-21,2020-12-23,Tottenham,EFL Cup,Home,Stoke
2020-21,2021-01-05,Tottenham,EFL Cup,Home,Brentford
2020-21,2020-09-16,West Brom,EFL Cup,Home,Harrogate Town
2020-21,2020-09-22,West Brom,EFL Cup,Home,Brentford
2020-21,2020-09-15,West Ham,EFL Cup,Home,Charlton
2020-21,2020-09-17,Wolves,EFL Cup,Home,Stoke
