Season,Date,Team,Comp,Venue,Opponent
2021-22,2021-09-16,Leicester,Europa Lg,Home,SSC Napoli
2021-22,2021-09-30,Leicester,Europa Lg,Away,Legia Warszawa
2021-22,2021-10-20,Leicester,Europa Lg,Away,Spartak Moskva
2021-22,2021-11-04,Leicester,Europa Lg,Home,Spartak Moskva
2021-22,2021-11-25,Leicester,Europa Lg,Home,Legia Warszawa
2021-22,2021-12-09,Leicester,Europa Lg,Away,SSC Napoli
2021-22,2021-09-16,West Ham,Europa Lg,Away,Dinamo Zagreb
2021-22,2021-09-30,West Ham,Europa Lg,Home,Rapid Wien
2021-22,2021-10-21,West Ham,Europa Lg,Home,KRC Genk
2021-22,2021-11-04,West Ham,Europa Lg,Away,KRC Genk
2021-22,2021-11-25,West Ham,Europa Lg,Away,Rapid Wien
2021-22,2021-12-09,West Ham,Europa Lg,Home,Dinamo Zagreb
2021-22,2022-03-10,West Ham,Europa Lg,Away,Sevilla FC
2021-22,2022-03-17,West Ham,Europa Lg,Home,Sevilla FC
2021-22,2022-04-07,West Ham,Europa Lg,Home,Olympique Lyonnais
2021-22,2022-04-14,West Ham,Europa Lg,Away,Olympique Lyonnais
2021-22,2022-04-28,West Ham,Europa Lg,Home,Eintracht Frankfurt
2021-22,2022-05-05,West Ham,Europa Lg,Away,Eintracht Frankfurt
