Season,Date,Team,Comp,Venue,Opponent
2023-24,2023-09-21,Brighton,Europa Lg,Home,AEK Athens FC
2023-24,2023-10-05,Brighton,Europa Lg,Away,Marseille
2023-24,2023-10-26,Brighton,Europa Lg,Home,Ajax
2023-24,2023-11-09,Brighton,Europa Lg,Away,Ajax
2023-24,2023-11-30,Brighton,Europa Lg,Away,AEK Athens FC
2023-24,2023-12-14,Brighton,Europa Lg,Home,Marseille
2023-24,2024-03-07,Brighton,Europa Lg,Away,AS Roma
2023-24,2024-03-14,Brighton,Europa Lg,Home,AS Roma
2023-24,2023-09-21,Liverpool,Europa Lg,Away,Lask Linz
2023-24,2023-10-05,Liverpool,Europa Lg,Home,Union St. Gilloise
2023-24,2023-10-26,Liverpool,Europa Lg,Home,Toulouse
2023-24,2023-11-09,Liverpool,Europa Lg,Away,Toulouse
2023-24,2023-11-30,Liverpool,Europa Lg,Home,Lask Linz
2023-24,2023-12-14,Liverpool,Europa Lg,Away,Union St. Gilloise
2023-24,2024-03-07,Liverpool,Europa Lg,Away,Sparta Praha
2023-24,2024-03-14,Liverpool,Europa Lg,Home,Sparta Praha
2023-24,2024-04-11,Liverpool,Europa Lg,Home,Atalanta
2023-24,2024-04-18,Liverpool,Europa Lg,Away,Atalanta
2023-24,2023-09-21,West Ham,Europa Lg,Home,TSC Backa Topola
2023-24,2023-10-05,West Ham,Europa Lg,Away,SC Freiburg
2023-24,2023-10-26,West Ham,Europa Lg,Away,Olympiakos Piraeus
2023-24,2023-11-09,West Ham,Europa Lg,Home,Olympiakos Piraeus
2023-24,2023-11-30,West Ham,Europa Lg,Away,TSC Backa Topola
2023-24,2023-12-14,West Ham,Europa Lg,Home,SC Freiburg
2023-24,2024-03-07,West Ham,Europa Lg,Away,SC Freiburg
2023-24,2024-03-14,West Ham,Europa Lg,Home,SC Freiburg
2023-24,2024-04-11,West Ham,Europa Lg,Away,Bayer Leverkusen
2023-24,2024-04-18,West Ham,Europa Lg,Home,Bayer Leverkusen
