Season,Date,Team,Comp,Venue,Opponent
2016-17,2017-01-07,Arsenal,FA Cup,Away,Preston North End
2016-17,2017-01-28,Arsenal,FA Cup,Away,Southampton
2016-17,2017-02-20,Arsenal,FA Cup,Away,Sutton United
2016-17,2017-03-11,Arsenal,FA Cup,Home,Lincoln City
2016-17,2017-04-23,Arsenal,FA Cup,Away,Man City
2016-17,2017-05-27,Arsenal,FA Cup,Away,Chelsea
2016-17,2017-01-07,Bournemouth,FA Cup,Away,Millwall
2016-17,2017-01-07,Burnley,FA Cup,Away,Sunderland
2016-17,2017-01-17,Burnley,FA Cup,Home,Sunderland
2016-17,2017-01-28,Burnley,FA Cup,Home,Bristol City
2016-17,2017-02-18,Burnley,FA Cup,Home,Lincoln City
2016-17,2017-01-08,Chelsea,FA Cup,Home,Peterborough United
2016-17,2017-01-28,Chelsea,FA Cup,Home,Brentford
2016-17,2017-02-18,Chelsea,FA Cup,Away,Wolves
2016-17,2017-03-13,Chelsea,FA Cup,Home,Man United
2016-17,2017-04-22,Chelsea,FA Cup,Away,Tottenham
2016-17,2017-05-27,Chelsea,FA Cup,Away,Arsenal
2016-17,2017-01-07,Crystal Palace,FA Cup,Away,Bolton Wanderers
2016-17,2017-01-17,Crystal Palace,FA Cup,Home,Bolton Wanderers
2016-17,2017-01-28,Crystal Palace,FA Cup,Home,Man City
2016-17,2017-01-07,Everton,FA Cup,Home,Leicester
2016-17,2017-01-07,Hull,FA Cup,Home,Swansea
2016-17,2017-01-29,Hull,FA Cup,Away,Fulham
2016-17,2017-01-07,Leicester,FA Cup,Away,Everton
2016-17,2017-01-27,Leicester,FA Cup,Away,Derby County
2016-17,2017-02-08,Leicester,FA Cup,Home,Derby County
2016-17,2017-02-18,Leicester,FA Cup,Away,Millwall
2016-17,2017-01-08,Liverpool,FA Cup,Home,Plymouth Argyle
2016-17,2017-01-18,Liverpool,FA Cup,Away,Plymouth Argyle
2016-17,2017-01-28,Liverpool,FA Cup,Home,Wolves
2016-17,2017-01-06,Man City,FA Cup,Away,West Ham
2016-17,2017-01-28,Man City,FA Cup,Away,Crystal Palace
2016-17,2017-02-18,Man City,FA Cup,Away,Huddersfield
2016-17,2017-03-01,Man City,FA Cup,Home,Huddersfield
2016-17,2017-03-11,Man City,FA Cup,Away,Middlesbrough
2016-17,2017-04-23,Man City,FA Cup,Away,Arsenal
2016-17,2017-01-07,Man United,FA Cup,Home,Reading
2016-17,2017-01-29,Man United,FA Cup,Home,Wigan Athletic
2016-17,2017-02-19,Man United,FA Cup,Away,Blackburn Rovers
2016-17,2017-03-13,Man United,FA Cup,Away,Chelsea
2016-17,2017-01-08,Middlesbrough,FA Cup,Home,Sheffield Wednesday
2016-17,2017-01-28,Middlesbrough,FA Cup,Home,Accrington Stanley
2016-17,2017-02-18,Middlesbrough,FA Cup,Home,Oxford United
2016-17,2017-03-11,Middlesbrough,FA Cup,Home,Man City
2016-17,2017-01-07,Southampton,FA Cup,Away,Norwich
2016-17,2017-01-18,Southampton,FA Cup,Home,Norwich
2016-17,2017-01-28,Southampton,FA Cup,Home,Arsenal
2016-17,2017-01-07,Stoke,FA Cup,Home,Wolves
2016-17,2017-01-07,Sunderland,FA Cup,Home,Burnley
2016-17,2017-01-17,Sunderland,FA Cup,Away,Burnley
2016-17,2017-01-07,Swansea,FA Cup,Away,Hull
2016-17,2017-01-08,Tottenham,FA Cup,Home,Aston Villa
2016-17,2017-01-28,Tottenham,FA Cup,Home,Wycombe Wanderers
2016-17,2017-02-19,Tottenham,FA Cup,Away,Fulham
2016-17,2017-03-12,Tottenham,FA Cup,Home,Millwall
2016-17,2017-04-22,Tottenham,FA Cup,Away,Chelsea
2016-17,2017-01-07,Watford,FA Cup,Home,Burton Albion
2016-17,2017-01-29,Watford,FA Cup,Away,Millwall
2016-17,2017-01-07,West Brom,FA Cup,Home,Derby County
2016-17,2017-01-06,West Ham,FA Cup,Home,Man City
