Season,Date,Team,Comp,Venue,Opponent
2022-23,2022-09-08,Arsenal,Europa Lg,Away,FC Zurich
2022-23,2022-10-06,Arsenal,Europa Lg,Home,Bodo/Glimt
2022-23,2022-10-13,Arsenal,Europa Lg,Away,Bodo/Glimt
2022-23,2022-10-20,Arsenal,Europa Lg,Home,PSV Eindhoven
2022-23,2022-10-27,Arsenal,Europa Lg,Away,PSV Eindhoven
2022-23,2022-11-03,Arsenal,Europa Lg,Home,FC Zurich
2022-23,2023-03-09,Arsenal,Europa Lg,Away,Sporting CP
2022-23,2023-03-16,Arsenal,Europa Lg,Home,Sporting CP
2022-23,2022-09-08,Man United,Europa Lg,Home,Real Sociedad
2022-23,2022-09-15,Man United,Europa Lg,Away,Sheriff Tiraspol
2022-23,2022-10-06,Man United,Europa Lg,Away,Omonia Nicosia
2022-23,2022-10-13,Man United,Europa Lg,Home,Omonia Nicosia
2022-23,2022-10-27,Man United,Europa Lg,Home,Sheriff Tiraspol
2022-23,2022-11-03,Man United,Europa Lg,Away,Real Sociedad
2022-23,2023-02-16,Man United,Europa Lg,Away,Barcelona
2022-23,2023-02-23,Man United,Europa Lg,Home,Barcelona
2022-23,2023-03-09,Man United,Europa Lg,Home,Real Betis
2022-23,2023-03-16,Man United,Europa Lg,Away,Real Betis
2022-23,2023-04-13,Man United,Europa Lg,Home,Sevilla
2022-23,2023-04-20,Man United,Europa Lg,Away,Sevilla
