Season,Date,Team,Comp,Venue,Opponent
2023-24,2024-01-07,Arsenal,FA Cup,Home,Liverpool
2023-24,2024-01-06,Aston Villa,FA Cup,Away,Middlesbrough
2023-24,2024-01-26,Aston Villa,FA Cup,Away,Chelsea
2023-24,2024-02-07,Aston Villa,FA Cup,Home,Chelsea
2023-24,2024-01-06,Bournemouth,FA Cup,Away,QPR
2023-24,2024-01-25,Bournemouth,FA Cup,Home,Swansea
2023-24,2024-02-27,Bournemouth,FA Cup,Home,Leicester
2023-24,2024-01-05,Brentford,FA Cup,Home,Wolves
2023-24,2024-01-16,Brentford,FA Cup,Away,Wolves
2023-24,2024-01-06,Brighton,FA Cup,Away,Stoke
2023-24,2024-01-27,Brighton,FA Cup,Away,Sheffield United
2023-24,2024-02-28,Brighton,FA Cup,Away,Wolves
2023-24,2024-01-05,Burnley,FA Cup,Away,Tottenham
2023-24,2024-01-06,Cardiff,FA Cup,Away,Sheffield Wednesday
2023-24,2024-01-06,Chelsea,FA Cup,Home,Preston
2023-24,2024-01-26,Chelsea,FA Cup,Home,Aston Villa
2023-24,2024-02-07,Chelsea,FA Cup,Away,Aston Villa
2023-24,2024-02-28,Chelsea,FA Cup,Home,Leeds
2023-24,2024-03-17,Chelsea,FA Cup,Home,Leicester
2023-24,2024-04-20,Chelsea,FA Cup,Away,Man City
2023-24,2024-01-04,Crystal Palace,FA Cup,Home,Everton
2023-24,2024-01-17,Crystal Palace,FA Cup,Away,Everton
2023-24,2024-01-04,Everton,FA Cup,Away,Crystal Palace
2023-24,2024-01-17,Everton,FA Cup,Home,Crystal Palace
2023-24,2024-01-27,Everton,FA Cup,Home,Luton
2023-24,2024-01-05,Fulham,FA Cup,Home,Rotherham
2023-24,2024-01-27,Fulham,FA Cup,Home,Newcastle
2023-24,2024-01-07,Huddersfield,FA Cup,Away,Man City
2023-24,2024-01-06,Hull,FA Cup,Home,Birmingham
2023-24,2024-01-16,Hull,FA Cup,Away,Birmingham
