Season,Date,Team,Comp,Venue,Opponent
2021-22,2021-09-14,Chelsea,Champions Lg,Home,Zenit St. Petersburg
2021-22,2021-09-29,Chelsea,Champions Lg,Away,Juventus
2021-22,2021-10-20,Chelsea,Champions Lg,Home,Malmö FF
2021-22,2021-11-02,Chelsea,Champions Lg,Away,Malmö FF
2021-22,2021-11-23,Chelsea,Champions Lg,Home,Juventus
2021-22,2021-12-08,Chelsea,Champions Lg,Away,Zenit St. Petersburg
2021-22,2022-02-22,Chelsea,Champions Lg,Home,Lille OSC
2021-22,2022-03-16,Chelsea,Champions Lg,Away,Lille OSC
2021-22,2022-04-06,Chelsea,Champions Lg,Home,Real Madrid
2021-22,2022-04-12,Chelsea,Champions Lg,Away,Real Madrid
2021-22,2021-09-15,Liverpool,Champions Lg,Home,AC Milan
2021-22,2021-09-28,Liverpool,Champions Lg,Away,FC Porto
2021-22,2021-10-19,Liverpool,Champions Lg,Away,Atlético Madrid
2021-22,2021-11-03,Liverpool,Champions Lg,Home,Atlético Madrid
2021-22,2021-11-24,Liverpool,Champions Lg,Home,FC Porto
2021-22,2021-12-07,Liverpool,Champions Lg,Away,AC Milan
2021-22,2022-02-16,Liverpool,Champions Lg,Away,Inter
2021-22,2022-03-08,Liverpool,Champions Lg,Home,Inter
2021-22,2022-04-05,Liverpool,Champions Lg,Away,SL Benfica
2021-22,2022-04-13,Liverpool,Champions Lg,Home,SL Benfica
2021-22,2022-04-27,Liverpool,Champions Lg,Home,Villarreal CF
2021-22,2022-05-03,Liverpool,Champions Lg,Away,Villarreal CF
2021-22,2022-05-28,Liverpool,Champions Lg,Home,Real Madrid
2021-22,2021-09-15,Man City,Champions Lg,Home,RB Leipzig
2021-22,2021-09-28,Man City,Champions Lg,Away,Paris Saint-Germain
2021-22,2021-10-19,Man City,Champions Lg,Away,Club Brugge KV
2021-22,2021-11-03,Man City,Champions Lg,Home,Club Brugge KV
2021-22,2021-11-24,Man City,Champions Lg,Home,Paris Saint-Germain
2021-22,2021-12-07,Man City,Champions Lg,Away,RB Leipzig
2021-22,2022-02-15,Man City,Champions Lg,Away,Sporting CP
2021-22,2022-03-09,Man City,Champions Lg,Home,Sporting CP
2021-22,2022-04-05,Man City,Champions Lg,Home,Atlético Madrid
2021-22,2022-04-13,Man City,Champions Lg,Away,Atlético Madrid
2021-22,2022-04-26,Man City,Champions Lg,Home,Real Madrid
2021-22,2022-05-04,Man City,Champions Lg,Away,Real Madrid
2021-22,2021-09-14,Man United,Champions Lg,Away,BSC Young Boys
2021-22,2021-09-29,Man United,Champions Lg,Home,Villarreal CF
2021-22,2021-10-20,Man United,Champions Lg,Home,Atalanta
2021-22,2021-11-02,Man United,Champions Lg,Away,Atalanta
2021-22,2021-11-23,Man United,Champions Lg,Away,Villarreal CF
2021-22,2021-12-08,Man United,Champions Lg,Home,BSC Young Boys
2021-22,2022-02-23,Man United,Champions Lg,Away,Atlético Madrid
2021-22,2022-03-15,Man United,Champions Lg,Home,Atlético Madrid
