Season,Date,Team,Comp,Venue,Opponent
2024-25,2024-09-25,Arsenal,EFL Cup,Home,Bolton
2024-25,2024-10-30,Arsenal,EFL Cup,Away,Preston
2024-25,2024-12-18,Arsenal,EFL Cup,Home,Crystal Palace
2024-25,2025-01-07,Arsenal,EFL Cup,Home,Newcastle
2024-25,2025-02-05,Arsenal,EFL Cup,Away,Newcastle
2024-25,2024-09-24,Aston Villa,EFL Cup,Away,Wycombe
2024-25,2024-10-30,Aston Villa,EFL Cup,Home,Crystal Palace
2024-25,2024-08-28,Bournemouth,EFL Cup,Away,West Ham
2024-25,2024-08-28,Brentford,EFL Cup,Away,Colchester
2024-25,2024-09-17,Brentford,EFL Cup,Home,Leyton Orient
2024-25,2024-10-29,Brentford,EFL Cup,Home,Sheffield Wednesday
2024-25,2024-12-18,Brentford,EFL Cup,Away,Newcastle
2024-25,2024-08-27,Brighton,EFL Cup,Home,Crawley Town
2024-25,2024-09-18,Brighton,EFL Cup,Home,Wolves
2024-25,2024-10-30,Brighton,EFL Cup,Home,Liverpool
2024-25,2024-08-28,Burnley,EFL Cup,Away,Wolves
2024-25,2024-08-13,Cardiff,EFL Cup,Home,Bristol Rovers
2024-25,2024-08-28,Cardiff,EFL Cup,Home,Southampton
2024-25,2024-09-24,Chelsea,EFL Cup,Home,Barrow
2024-25,2024-10-30,Chelsea,EFL Cup,Away,Newcastle
2024-25,2024-08-27,Crystal Palace,EFL Cup,Home,Norwich
2024-25,2024-09-17,Crystal Palace,EFL Cup,Away,QPR
2024-25,2024-10-30,Crystal Palace,EFL Cup,Away,Aston Villa
2024-25,2024-12-18,Crystal Palace,EFL Cup,Away,Arsenal
2024-25,2024-08-27,Everton,EFL Cup,Home,Doncaster
2024-25,2024-09-17,Everton,EFL Cup,Home,Southampton
2024-25,2024-08-27,Fulham,EFL Cup,Away,Birmingham
2024-25,2024-09-17,Fulham,EFL Cup,Away,Preston
2024-25,2024-08-13,Huddersfield,EFL Cup,Home,Morecambe
2024-25,2024-08-27,Huddersfield,EFL Cup,Away,Walsall
2024-25,2024-08-14,Hull,EFL Cup,Home,Sheffield Wednesday
2024-25,2024-08-28,Ipswich,EFL Cup,Away,AFC Wimbledon
2024-25,2024-08-14,Leeds,EFL Cup,Home,Middlesbrough
2024-25,2024-08-27,Leicester,EFL Cup,Home,Tranmere
2024-25,2024-09-24,Leicester,EFL Cup,Away,Walsall
2024-25,2024-10-30,Leicester,EFL Cup,Away,Man United
2024-25,2024-09-25,Liverpool,EFL Cup,Home,West Ham
2024-25,2024-10-30,Liverpool,EFL Cup,Away,Brighton
2024-25,2024-12-18,Liverpool,EFL Cup,Away,Southampton
2024-25,2025-01-08,Liverpool,EFL Cup,Away,Tottenham
2024-25,2025-02-06,Liverpool,EFL Cup,Home,Tottenham
2024-25,2025-03-16,Liverpool,EFL Cup,Home,Newcastle
2024-25,2024-08-27,Luton,EFL Cup,Away,QPR
2024-25,2024-09-24,Man City,EFL Cup,Home,Watford
2024-25,2024-10-30,Man City,EFL Cup,Away,Tottenham
2024-25,2024-09-17,Man United,EFL Cup,Home,Barnsley
2024-25,2024-10-30,Man United,EFL Cup,Home,Leicester
2024-25,2024-12-19,Man United,EFL Cup,Away,Tottenham
2024-25,2024-08-14,Middlesbrough,EFL Cup,Away,Leeds
2024-25,2024-08-27,Middlesbrough,EFL Cup,Home,Stoke
2024-25,2024-08-28,Newcastle,EFL Cup,Away,Nott'm Forest
2024-25,2024-10-01,Newcastle,EFL Cup,Home,AFC Wimbledon
2024-25,2024-10-30,Newcastle,EFL Cup,Home,Chelsea
2024-25,2024-12-18,Newcastle,EFL Cup,Home,Brentford
2024-25,2025-01-07,Newcastle,EFL Cup,Away,Arsenal
2024-25,2025-02-05,Newcastle,EFL Cup,Home,Arsenal
2024-25,2025-03-16,Newcastle,EFL Cup,Away,Liverpool
2024-25,2024-08-28,Nott'm Forest,EFL Cup,Home,Newcastle
2024-25,2024-08-13,Sheffield United,EFL Cup,Home,Wrexham
2024-25,2024-08-27,Sheffield United,EFL Cup,Away,Barnsley
2024-25,2024-08-28,Southampton,EFL Cup,Away,Cardiff
2024-25,2024-09-17,Southampton,EFL Cup,Away,Everton
2024-25,2024-10-29,Southampton,EFL Cup,Home,Stoke
2024-25,2024-12-18,Southampton,EFL Cup,Home,Liverpool
2024-25,2024-08-13,Stoke,EFL Cup,Away,Carlisle
2024-25,2024-08-27,Stoke,EFL Cup,Away,Middlesbrough
2024-25,2024-09-17,Stoke,EFL Cup,Home,Fleetwood Town
2024-25,2024-10-29,Stoke,EFL Cup,Away,Southampton
2024-25,2024-08-13,Sunderland,EFL Cup,Away,Preston
2024-25,2024-08-13,Swansea,EFL Cup,Home,Gillingham
2024-25,2024-08-28,Swansea,EFL Cup,Home,Wycombe
2024-25,2024-09-18,Tottenham,EFL Cup,Away,Coventry
2024-25,2024-10-30,Tottenham,EFL Cup,Home,Man City
2024-25,2024-12-19,Tottenham,EFL Cup,Home,Man United
2024-25,2025-01-08,Tottenham,EFL Cup,Home,Liverpool
2024-25,2025-02-06,Tottenham,EFL Cup,Away,Liverpool
2024-25,2024-08-13,Watford,EFL Cup,Home,Milton Keynes Dons
2024-25,2024-08-27,Watford,EFL Cup,Home,Plymouth
2024-25,2024-09-24,Watford,EFL Cup,Away,Man City
2024-25,2024-08-13,West Brom,EFL Cup,Away,Fleetwood Town
2024-25,2024-08-28,West Ham,EFL Cup,Home,Bournemouth
2024-25,2024-09-25,West Ham,EFL Cup,Away,Liverpool
2024-25,2024-08-28,Wolves,EFL Cup,Home,Burnley
2024-25,2024-09-18,Wolves,EFL Cup,Away,Brighton
