Season,Date,Team,Comp,Venue,Opponent
2022-23,2022-09-06,Chelsea,Champions Lg,Away,Dinamo Zagreb
2022-23,2022-09-14,Chelsea,Champions Lg,Home,Red Bull Salzburg
2022-23,2022-10-05,Chelsea,Champions Lg,Home,AC Milan
2022-23,2022-10-11,Chelsea,Champions Lg,Away,AC Milan
2022-23,2022-10-25,Chelsea,Champions Lg,Away,Red Bull Salzburg
2022-23,2022-11-02,Chelsea,Champions Lg,Home,Dinamo Zagreb
2022-23,2023-02-15,Chelsea,Champions Lg,Away,Borussia Dortmund
2022-23,2023-03-07,Chelsea,Champions Lg,Home,Borussia Dortmund
2022-23,2023-04-12,Chelsea,Champions Lg,Away,Real Madrid
2022-23,2023-04-18,Chelsea,Champions Lg,Home,Real Madrid
2022-23,2022-09-07,Liverpool,Champions Lg,Away,Napoli
2022-23,2022-09-13,Liverpool,Champions Lg,Home,Ajax
2022-23,2022-10-04,Liverpool,Champions Lg,Home,Rangers
2022-23,2022-10-12,Liverpool,Champions Lg,Away,Rangers
2022-23,2022-10-26,Liverpool,Champions Lg,Away,Ajax
2022-23,2022-11-01,Liverpool,Champions Lg,Home,Napoli
2022-23,2023-02-21,Liverpool,Champions Lg,Home,Real Madrid
2022-23,2023-03-15,Liverpool,Champions Lg,Away,Real Madrid
2022-23,2022-09-06,Man City,Champions Lg,Away,Sevilla
2022-23,2022-09-14,Man City,Champions Lg,Home,Borussia Dortmund
2022-23,2022-10-05,Man City,Champions Lg,Home,FC Copenhagen
2022-23,2022-10-11,Man City,Champions Lg,Away,FC Copenhagen
2022-23,2022-10-25,Man City,Champions Lg,Away,Borussia Dortmund
2022-23,2022-11-02,Man City,Champions Lg,Home,Sevilla
2022-23,2023-02-22,Man City,Champions Lg,Away,RB Leipzig
2022-23,2023-03-14,Man City,Champions Lg,Home,RB Leipzig
2022-23,2023-04-11,Man City,Champions Lg,Home,Bayern Munich
2022-23,2023-04-19,Man City,Champions Lg,Away,Bayern Munich
2022-23,2023-05-09,Man City,Champions Lg,Away,Real Madrid
2022-23,2023-05-17,Man City,Champions Lg,Home,Real Madrid
2022-23,2023-06-10,Man City,Champions Lg,Home,Inter
2022-23,2022-09-07,Tottenham,Champions Lg,Home,Marseille
2022-23,2022-09-13,Tottenham,Champions Lg,Away,Sporting CP
2022-23,2022-10-04,Tottenham,Champions Lg,Away,Eintracht Frankfurt
2022-23,2022-10-12,Tottenham,Champions Lg,Home,Eintracht Frankfurt
2022-23,2022-10-26,Tottenham,Champions Lg,Home,Sporting CP
2022-23,2022-11-01,Tottenham,Champions Lg,Away,Marseille
2022-23,2023-02-14,Tottenham,Champions Lg,Away,AC Milan
2022-23,2023-03-08,Tottenham,Champions Lg,Home,AC Milan
