Season,Date,Team,Comp,Venue,Opponent
2021-22,2021-09-22,Arsenal,EFL Cup,Home,AFC Wimbledon
2021-22,2021-10-26,Arsenal,EFL Cup,Home,Leeds
2021-22,2021-12-21,Arsenal,EFL Cup,Home,Sunderland
2021-22,2022-01-20,Arsenal,EFL Cup,Home,Liverpool
2021-22,2021-08-24,Aston Villa,EFL Cup,Away,Barrow
2021-22,2021-08-24,Brentford,EFL Cup,Home,Forest Green
2021-22,2021-09-21,Brentford,EFL Cup,Home,Oldham Athletic
2021-22,2021-10-27,Brentford,EFL Cup,Away,Stoke
2021-22,2021-12-22,Brentford,EFL Cup,Home,Chelsea
2021-22,2021-08-24,Brighton,EFL Cup,Away,Cardiff
2021-22,2021-09-22,Brighton,EFL Cup,Home,Swansea
2021-22,2021-09-21,Burnley,EFL Cup,Home,Rochdale
2021-22,2021-09-22,Chelsea,EFL Cup,Home,Aston Villa
2021-22,2021-10-26,Chelsea,EFL Cup,Home,Southampton
2021-22,2022-01-05,Chelsea,EFL Cup,Home,Tottenham
2021-22,2022-02-27,Chelsea,EFL Cup,Away,Liverpool
2021-22,2021-08-24,Everton,EFL Cup,Away,Huddersfield
2021-22,2021-08-24,Leeds,EFL Cup,Home,Crewe Alexandra
2021-22,2021-09-22,Leicester,EFL Cup,Away,Millwall
2021-22,2021-10-27,Leicester,EFL Cup,Home,Brighton
2021-22,2021-09-21,Liverpool,EFL Cup,Away,Norwich
2021-22,2021-10-27,Liverpool,EFL Cup,Away,Preston
2021-22,2021-12-22,Liverpool,EFL Cup,Home,Leicester
2021-22,2022-01-13,Liverpool,EFL Cup,Home,Arsenal
2021-22,2021-09-21,Man City,EFL Cup,Home,Wycombe
2021-22,2021-08-25,Newcastle,EFL Cup,Home,Burnley
2021-22,2021-08-24,Norwich,EFL Cup,Home,Bournemouth
2021-22,2021-08-25,Southampton,EFL Cup,Away,Newport County
2021-22,2021-09-21,Southampton,EFL Cup,Away,Sheffield United
2021-22,2021-09-22,Tottenham,EFL Cup,Away,Wolves
2021-22,2021-10-27,Tottenham,EFL Cup,Away,Burnley
2021-22,2021-12-22,Tottenham,EFL Cup,Home,West Ham
2021-22,2022-01-12,Tottenham,EFL Cup,Home,Chelsea
2021-22,2021-08-24,Watford,EFL Cup,Home,Crystal Palace
2021-22,2021-09-21,Watford,EFL Cup,Home,Stoke
2021-22,2021-09-22,West Ham,EFL Cup,Away,Man United
2021-22,2021-10-27,West Ham,EFL Cup,Home,Man City
2021-22,2021-08-24,Wolves,EFL Cup,Away,Nottingham Forest
