Season,Date,Team,Comp,Venue,Opponent
2025-26,2025-10-31,Luton,FA Cup,Home,Forest Green Rovers
2025-26,2025-12-06,Luton,FA Cup,Away,Fleetwood Town
2025-26,2026-01-09,Nott'm Forest,FA Cup,Away,Wrexham
2025-26,2026-01-10,Aston Villa,FA Cup,Away,Tottenham
2025-26,2026-01-10,Bournemouth,FA Cup,Away,Newcastle
2025-26,2026-01-10,Brentford,FA Cup,Away,Sheffield Wednesday
2025-26,2026-01-10,Burnley,FA Cup,Home,Millwall
2025-26,2026-01-10,Chelsea,FA Cup,Away,Charlton Athletic
2025-26,2026-01-10,Crystal Palace,FA Cup,Away,Macclesfield FC
2025-26,2026-01-10,Everton,FA Cup,Home,Sunderland
2025-26,2026-01-10,Fulham,FA Cup,Home,Middlesbrough
2025-26,2026-01-10,Ipswich,FA Cup,Home,Blackpool
2025-26,2026-01-10,Leicester,FA Cup,Away,Cheltenham Town
2025-26,2026-01-10,Man City,FA Cup,Home,Exeter City
2025-26,2026-01-10,Middlesbrough,FA Cup,Away,Fulham
2025-26,2026-01-10,Newcastle,FA Cup,Home,Bournemouth
2025-26,2026-01-10,Southampton,FA Cup,Away,Doncaster Rovers
2025-26,2026-01-10,Sunderland,FA Cup,Away,Everton
2025-26,2026-01-10,Tottenham,FA Cup,Home,Aston Villa
2025-26,2026-01-10,Watford,FA Cup,Away,Bristol City
2025-26,2026-01-11,Arsenal,FA Cup,Away,Portsmouth
2025-26,2026-01-11,Brighton,FA Cup,Away,Man United
2025-26,2026-01-11,Leeds,FA Cup,Away,Derby County
2025-26,2026-01-11,Man United,FA Cup,Home,Brighton
2025-26,2026-01-11,Sheffield United,FA Cup,Home,Mansfield Town
2025-26,2026-01-11,West Brom,FA Cup,Away,Swansea City
2025-26,2026-01-11,West Ham,FA Cup,Home,Queens Park Rangers
2025-26,2026-01-12,Liverpool,FA Cup,Home,Barnsley
2025-26,2026-02-13,Chelsea,FA Cup,Away,Hull City
2025-26,2026-02-13,Ipswich,FA Cup,Away,Wrexham
2025-26,2026-02-14,Aston Villa,FA Cup,Home,Newcastle
2025-26,2026-02-14,Brighton,FA Cup,Away,Liverpool
2025-26,2026-02-14,Burnley,FA Cup,Home,Mansfield Town
2025-26,2026-02-14,Leicester,FA Cup,Away,Southampton
2025-26,2026-02-14,Liverpool,FA Cup,Home,Brighton
2025-26,2026-02-14,Man City,FA Cup,Home,Salford City
2025-26,2026-02-14,Newcastle,FA Cup,Away,Aston Villa
2025-26,2026-02-14,Southampton,FA Cup,Home,Leicester
2025-26,2026-02-14,West Brom,FA Cup,Away,Norwich
2025-26,2026-02-14,West Ham,FA Cup,Away,Burton Albion
2025-26,2026-02-15,Arsenal,FA Cup,Home,Wigan Athletic
2025-26,2026-02-15,Fulham,FA Cup,Away,Stoke City
2025-26,2026-02-15,Leeds,FA Cup,Away,Birmingham City
2025-26,2026-02-15,Sunderland,FA Cup,Away,Oxford United
2025-26,2026-02-16,Brentford,FA Cup,Away,Macclesfield FC
2025-26,2026-03-06,Liverpool,FA Cup,Away,Wolverhampton
2025-26,2026-03-07,Arsenal,FA Cup,Away,Mansfield Town
2025-26,2026-03-07,Brentford,FA Cup,Away,West Ham
2025-26,2026-03-07,Chelsea,FA Cup,Away,Wrexham
2025-26,2026-03-07,Man City,FA Cup,Away,Newcastle
2025-26,2026-03-07,Newcastle,FA Cup,Home,Man City
2025-26,2026-03-07,West Ham,FA Cup,Home,Brentford
2025-26,2026-03-08,Fulham,FA Cup,Home,Southampton
2025-26,2026-03-08,Leeds,FA Cup,Home,Norwich
2025-26,2026-03-08,Southampton,FA Cup,Away,Fulham
2025-26,2026-03-08,Sunderland,FA Cup,Away,Port Vale
2025-26,2026-03-09,Brentford,FA Cup,Away,West Ham
2025-26,2026-03-09,West Ham,FA Cup,Home,Brentford
