Season,Date,Team,Comp,Venue,Opponent
2016-17,2016-09-15,Man United,Europa Lg,Away,Feyenoord
2016-17,2016-09-29,Man United,Europa Lg,Home,Zorya Luhansk
2016-17,2016-10-20,Man United,Europa Lg,Home,Fenerbahce
2016-17,2016-11-03,Man United,Europa Lg,Away,Fenerbahce
2016-17,2016-11-24,Man United,Europa Lg,Home,Feyenoord
2016-17,2016-12-08,Man United,Europa Lg,Away,Zorya Luhansk
2016-17,2017-02-16,Man United,Europa Lg,Home,Saint-Etienne
2016-17,2017-02-22,Man United,Europa Lg,Away,Saint-Etienne
2016-17,2017-03-09,Man United,Europa Lg,Away,Rostov
2016-17,2017-03-16,Man United,Europa Lg,Home,Rostov
2016-17,2017-04-13,Man United,Europa Lg,Away,Anderlecht
2016-17,2017-04-20,Man United,Europa Lg,Home,Anderlecht
2016-17,2017-05-04,Man United,Europa Lg,Away,Celta Vigo
2016-17,2017-05-11,Man United,Europa Lg,Home,Celta Vigo
2016-17,2017-05-24,Man United,Europa Lg,Away,Ajax
2016-17,2016-09-15,Southampton,Europa Lg,Home,Sparta Prague
2016-17,2016-09-29,Southampton,Europa Lg,Away,Hapoel Beer Sheva
2016-17,2016-10-20,Southampton,Europa Lg,Away,Inter
2016-17,2016-11-03,Southampton,Europa Lg,Home,Inter
2016-17,2016-11-24,Southampton,Europa Lg,Away,Sparta Prague
2016-17,2016-12-08,Southampton,Europa Lg,Home,Hapoel Beer Sheva
2016-17,2017-02-16,Tottenham,Europa Lg,Away,KAA Gent
2016-17,2017-02-23,Tottenham,Europa Lg,Home,KAA Gent
2016-17,2016-07-28,West Ham,Europa Lg,Away,NK Domzale
2016-17,2016-08-04,West Ham,Europa Lg,Home,NK Domzale
2016-17,2016-08-18,West Ham,Europa Lg,Away,Astra Giurgiu
2016-17,2016-08-25,West Ham,Europa Lg,Home,Astra Giurgiu
