Season,Date,Team,Comp,Venue,Opponent
2020-21,2021-01-09,Arsenal,FA Cup,Home,Newcastle
2020-21,2021-01-23,Arsenal,FA Cup,Away,Southampton
2020-21,2021-01-08,Aston Villa,FA Cup,Home,Liverpool
2020-21,2021-01-10,Brighton,FA Cup,Away,Newport County
2020-21,2021-01-23,Brighton,FA Cup,Home,Blackpool
2020-21,2021-02-10,Brighton,FA Cup,Away,Leicester
2020-21,2021-01-09,Burnley,FA Cup,Home,Milton Keynes Dons
2020-21,2021-01-24,Burnley,FA Cup,Away,Fulham
2020-21,2021-02-09,Burnley,FA Cup,Home,Bournemouth
2020-21,2021-01-10,Chelsea,FA Cup,Home,Morecambe
2020-21,2021-01-24,Chelsea,FA Cup,Home,Luton Town
2020-21,2021-02-11,Chelsea,FA Cup,Away,Barnsley
2020-21,2021-03-21,Chelsea,FA Cup,Home,Sheffield United
2020-21,2021-04-17,Chelsea,FA Cup,Away,Man City
2020-21,2021-05-15,Chelsea,FA Cup,Away,Leicester
2020-21,2021-01-08,Crystal Palace,FA Cup,Away,Wolves
2020-21,2021-01-09,Everton,FA Cup,Home,Rotherham United
2020-21,2021-01-24,Everton,FA Cup,Home,Sheffield Wednesday
2020-21,2021-02-10,Everton,FA Cup,Home,Tottenham
2020-21,2021-03-20,Everton,FA Cup,Home,Man City
2020-21,2021-01-09,Fulham,FA Cup,Away,Queens Park Rangers
2020-21,2021-01-24,Fulham,FA Cup,Home,Burnley
2020-21,2021-01-10,Leeds,FA Cup,Away,Crawley Town
2020-21,2021-01-09,Leicester,FA Cup,Away,Stoke
2020-21,2021-01-24,Leicester,FA Cup,Away,Brentford
2020-21,2021-02-10,Leicester,FA Cup,Home,Brighton
2020-21,2021-03-21,Leicester,FA Cup,Home,Man United
2020-21,2021-04-18,Leicester,FA Cup,Away,Southampton
2020-21,2021-05-15,Leicester,FA Cup,Away,Chelsea
2020-21,2021-01-08,Liverpool,FA Cup,Away,Aston Villa
2020-21,2021-01-24,Liverpool,FA Cup,Away,Man United
2020-21,2021-01-10,Man City,FA Cup,Home,Birmingham City
2020-21,2021-01-23,Man City,FA Cup,Away,Cheltenham Town
2020-21,2021-02-10,Man City,FA Cup,Away,Swansea
2020-21,2021-03-20,Man City,FA Cup,Away,Everton
2020-21,2021-04-17,Man City,FA Cup,Away,Chelsea
2020-21,2021-01-09,Man United,FA Cup,Home,Watford
2020-21,2021-01-24,Man United,FA Cup,Home,Liverpool
2020-21,2021-02-09,Man United,FA Cup,Home,West Ham
2020-21,2021-03-21,Man United,FA Cup,Away,Leicester
2020-21,2021-01-09,Newcastle,FA Cup,Away,Arsenal
2020-21,2021-01-09,Sheffield United,FA Cup,Away,Bristol Rovers
2020-21,2021-01-23,Sheffield United,FA Cup,Home,Plymouth Argyle
2020-21,2021-02-10,Sheffield United,FA Cup,Home,Bristol City
2020-21,2021-03-21,Sheffield United,FA Cup,Away,Chelsea
2020-21,2021-01-19,Southampton,FA Cup,Home,Shrewsbury Town
2020-21,2021-01-23,Southampton,FA Cup,Home,Arsenal
2020-21,2021-02-11,Southampton,FA Cup,Away,Wolves
2020-21,2021-03-20,Southampton,FA Cup,Away,Bournemouth
2020-21,2021-04-18,Southampton,FA Cup,Away,Leicester
2020-21,2021-01-10,Tottenham,FA Cup,Away,Marine
2020-21,2021-01-25,Tottenham,FA Cup,Away,Wycombe Wanderers
2020-21,2021-02-10,Tottenham,FA Cup,Away,Everton
2020-21,2021-01-09,West Brom,FA Cup,Away,Blackpool
2020-21,2021-01-11,West Ham,FA Cup,Away,Stockport County
2020-21,2021-01-23,West Ham,FA Cup,Home,Doncaster Rovers
2020-21,2021-02-09,West Ham,FA Cup,Away,Man United
2020-21,2021-01-08,Wolves,FA Cup,Home,Crystal Palace
2020-21,2021-01-22,Wolves,FA Cup,Away,Chorley
2020-21,2021-02-11,Wolves,FA Cup,Home,Southampton
