Season,Date,Team,Comp,Venue,Opponent
2016-17,2016-09-13,Arsenal,Champions Lg,Away,Paris Saint-Germain
2016-17,2016-09-28,Arsenal,Champions Lg,Home,FC Basel 1893
2016-17,2016-10-19,Arsenal,Champions Lg,Home,PFC Ludogorets Razgrad
2016-17,2016-11-01,Arsenal,Champions Lg,Away,PFC Ludogorets Razgrad
2016-17,2016-11-23,Arsenal,Champions Lg,Home,Paris Saint-Germain
2016-17,2016-12-06,Arsenal,Champions Lg,Away,FC Basel 1893
2016-17,2017-02-15,Arsenal,Champions Lg,Away,Bayern München
2016-17,2017-03-07,Arsenal,Champions Lg,Home,Bayern München
2016-17,2016-09-14,Leicester,Champions Lg,Away,Club Brugge KV
2016-17,2016-09-27,Leicester,Champions Lg,Home,FC Porto
2016-17,2016-10-18,Leicester,Champions Lg,Home,FC København
2016-17,2016-11-02,Leicester,Champions Lg,Away,FC København
2016-17,2016-11-22,Leicester,Champions Lg,Home,Club Brugge KV
2016-17,2016-12-07,Leicester,Champions Lg,Away,FC Porto
2016-17,2017-02-22,Leicester,Champions Lg,Away,Sevilla FC
2016-17,2017-03-14,Leicester,Champions Lg,Home,Sevilla FC
2016-17,2017-04-12,Leicester,Champions Lg,Away,Atlético Madrid
2016-17,2017-04-18,Leicester,Champions Lg,Home,Atlético Madrid
2016-17,2016-09-14,Man City,Champions Lg,Home,Bor. Mönchengladbach
2016-17,2016-09-28,Man City,Champions Lg,Away,Celtic FC
2016-17,2016-10-19,Man City,Champions Lg,Away,FC Barcelona
2016-17,2016-11-01,Man City,Champions Lg,Home,FC Barcelona
2016-17,2016-11-23,Man City,Champions Lg,Away,Bor. Mönchengladbach
2016-17,2016-12-06,Man City,Champions Lg,Home,Celtic FC
2016-17,2017-02-21,Man City,Champions Lg,Home,AS Monaco
2016-17,2017-03-15,Man City,Champions Lg,Away,AS Monaco
2016-17,2016-09-14,Tottenham,Champions Lg,Home,AS Monaco
2016-17,2016-09-27,Tottenham,Champions Lg,Away,CSKA Moskva
2016-17,2016-10-18,Tottenham,Champions Lg,Away,Bayer Leverkusen
2016-17,2016-11-02,Tottenham,Champions Lg,Home,Bayer Leverkusen
2016-17,2016-11-22,Tottenham,Champions Lg,Away,AS Monaco
2016-17,2016-12-07,Tottenham,Champions Lg,Home,CSKA Moskva
