Season,Date,Team,Comp,Venue,Opponent
2025-26,2025-09-16,Arsenal,Champions Lg,Away,Athletic Club
2025-26,2025-09-16,Tottenham,Champions Lg,Home,Villarreal
2025-26,2025-09-17,Chelsea,Champions Lg,Away,FC Bayern München
2025-26,2025-09-17,Liverpool,Champions Lg,Home,Atlético Madrid
2025-26,2025-09-18,Man City,Champions Lg,Home,Napoli
2025-26,2025-09-18,Newcastle,Champions Lg,Home,Barcelona
2025-26,2025-09-30,Chelsea,Champions Lg,Home,Benfica
2025-26,2025-09-30,Liverpool,Champions Lg,Away,Galatasaray
2025-26,2025-09-30,Tottenham,Champions Lg,Away,Bodø/Glimt
2025-26,2025-10-01,Arsenal,Champions Lg,Home,Olympiacos FC
2025-26,2025-10-01,Man City,Champions Lg,Away,AS Monaco
2025-26,2025-10-01,Newcastle,Champions Lg,Away,Royale Union Saint-Gilloise
2025-26,2025-10-21,Arsenal,Champions Lg,Home,Atlético Madrid
2025-26,2025-10-21,Man City,Champions Lg,Away,Villarreal
2025-26,2025-10-21,Newcastle,Champions Lg,Home,Benfica
2025-26,2025-10-22,Chelsea,Champions Lg,Home,AFC Ajax
2025-26,2025-10-22,Liverpool,Champions Lg,Away,Eintracht Frankfurt
2025-26,2025-10-22,Tottenham,Champions Lg,Away,AS Monaco
2025-26,2025-11-04,Arsenal,Champions Lg,Away,SK Slavia Praha
2025-26,2025-11-04,Liverpool,Champions Lg,Home,Real Madrid
2025-26,2025-11-04,Tottenham,Champions Lg,Home,FC København
2025-26,2025-11-05,Chelsea,Champions Lg,Away,Qarabağ FK
2025-26,2025-11-05,Man City,Champions Lg,Home,Borussia Dortmund
2025-26,2025-11-05,Newcastle,Champions Lg,Home,Athletic Club
2025-26,2025-11-25,Chelsea,Champions Lg,Home,Barcelona
2025-26,2025-11-25,Man City,Champions Lg,Home,Bayer 04 Leverkusen
2025-26,2025-11-25,Newcastle,Champions Lg,Away,Olympique de Marseille
2025-26,2025-11-26,Arsenal,Champions Lg,Home,FC Bayern München
2025-26,2025-11-26,Liverpool,Champions Lg,Home,PSV Eindhoven
2025-26,2025-11-26,Tottenham,Champions Lg,Away,Paris Saint-Germain
2025-26,2025-12-09,Chelsea,Champions Lg,Away,Atalanta
2025-26,2025-12-09,Liverpool,Champions Lg,Away,Inter
2025-26,2025-12-09,Tottenham,Champions Lg,Home,SK Slavia Praha
2025-26,2025-12-10,Arsenal,Champions Lg,Away,Club Brugge KV
2025-26,2025-12-10,Man City,Champions Lg,Away,Real Madrid
2025-26,2025-12-10,Newcastle,Champions Lg,Away,Bayer 04 Leverkusen
2025-26,2026-01-20,Arsenal,Champions Lg,Away,Inter
2025-26,2026-01-20,Man City,Champions Lg,Away,Bodø/Glimt
2025-26,2026-01-20,Tottenham,Champions Lg,Home,Borussia Dortmund
2025-26,2026-01-21,Chelsea,Champions Lg,Home,Pafos FC
2025-26,2026-01-21,Liverpool,Champions Lg,Away,Olympique de Marseille
2025-26,2026-01-21,Newcastle,Champions Lg,Home,PSV Eindhoven
2025-26,2026-01-28,Arsenal,Champions Lg,Home,Kairat Almaty
2025-26,2026-01-28,Chelsea,Champions Lg,Away,Napoli
2025-26,2026-01-28,Liverpool,Champions Lg,Home,Qarabağ FK
2025-26,2026-01-28,Man City,Champions Lg,Home,Galatasaray
2025-26,2026-01-28,Newcastle,Champions Lg,Away,Paris Saint-Germain
2025-26,2026-01-28,Tottenham,Champions Lg,Away,Eintracht Frankfurt
2025-26,2026-02-18,Newcastle,Champions Lg,Away,Qarabağ FK
2025-26,2026-02-24,Newcastle,Champions Lg,Home,Qarabağ FK
2025-26,2026-03-10,Liverpool,Champions Lg,Away,Galatasaray
2025-26,2026-03-10,Newcastle,Champions Lg,Home,Barcelona
2025-26,2026-03-10,Tottenham,Champions Lg,Away,Atlético Madrid
2025-26,2026-03-11,Arsenal,Champions Lg,Away,Bayer 04 Leverkusen
2025-26,2026-03-11,Chelsea,Champions Lg,Away,Paris Saint-Germain
2025-26,2026-03-11,Man City,Champions Lg,Away,Real Madrid
