Season,Date,Team,Comp,Venue,Opponent
2023-24,2023-09-20,Arsenal,Champions Lg,Home,PSV Eindhoven
2023-24,2023-10-03,Arsenal,Champions Lg,Away,Lens
2023-24,2023-10-24,Arsenal,Champions Lg,Away,Sevilla
2023-24,2023-11-08,Arsenal,Champions Lg,Home,Sevilla
2023-24,2023-11-29,Arsenal,Champions Lg,Home,Lens
2023-24,2023-12-12,Arsenal,Champions Lg,Away,PSV Eindhoven
2023-24,2024-02-21,Arsenal,Champions Lg,Away,FC Porto
2023-24,2024-03-12,Arsenal,Champions Lg,Home,FC Porto
2023-24,2024-04-09,Arsenal,Champions Lg,Home,Bayern Munich
2023-24,2024-04-17,Arsenal,Champions Lg,Away,Bayern Munich
2023-24,2023-09-19,Man City,Champions Lg,Home,FK Crvena Zvezda
2023-24,2023-10-04,Man City,Champions Lg,Away,RB Leipzig
2023-24,2023-10-25,Man City,Champions Lg,Away,BSC Young Boys
2023-24,2023-11-07,Man City,Champions Lg,Home,BSC Young Boys
2023-24,2023-11-28,Man City,Champions Lg,Home,RB Leipzig
2023-24,2023-12-13,Man City,Champions Lg,Away,FK Crvena Zvezda
2023-24,2024-02-13,Man City,Champions Lg,Away,FC Copenhagen
2023-24,2024-03-06,Man City,Champions Lg,Home,FC Copenhagen
2023-24,2024-04-09,Man City,Champions Lg,Away,Real Madrid
2023-24,2024-04-17,Man City,Champions Lg,Home,Real Madrid
2023-24,2023-09-20,Man United,Champions Lg,Away,Bayern Munich
2023-24,2023-10-03,Man United,Champions Lg,Home,Galatasaray
2023-24,2023-10-24,Man United,Champions Lg,Home,FC Copenhagen
2023-24,2023-11-08,Man United,Champions Lg,Away,FC Copenhagen
2023-24,2023-11-29,Man United,Champions Lg,Away,Galatasaray
2023-24,2023-12-12,Man United,Champions Lg,Home,Bayern Munich
2023-24,2023-09-19,Newcastle,Champions Lg,Away,AC Milan
2023-24,2023-10-04,Newcastle,Champions Lg,Home,Paris Saint Germain
2023-24,2023-10-25,Newcastle,Champions Lg,Home,Borussia Dortmund
2023-24,2023-11-07,Newcastle,Champions Lg,Away,Borussia Dortmund
2023-24,2023-11-28,Newcastle,Champions Lg,Away,Paris Saint Germain
2023-24,2023-12-13,Newcastle,Champions Lg,Home,AC Milan
