Season,Date,Team,Comp,Venue,Opponent
2020-21,2020-10-22,Arsenal,Europa Lg,Away,Rapid Wien
2020-21,2020-10-29,Arsenal,Europa Lg,Home,Dundalk FC
2020-21,2020-11-05,Arsenal,Europa Lg,Home,Molde FK
2020-21,2020-11-26,Arsenal,Europa Lg,Away,Molde FK
2020-21,2020-12-03,Arsenal,Europa Lg,Home,Rapid Wien
2020-21,2020-12-10,Arsenal,Europa Lg,Away,Dundalk FC
2020-21,2021-02-18,Arsenal,Europa Lg,Away,SL Benfica
2020-21,2021-02-25,Arsenal,Europa Lg,Home,SL Benfica
2020-21,2021-03-11,Arsenal,Europa Lg,Away,Olympiakos Piraeus
2020-21,2021-03-18,Arsenal,Europa Lg,Home,Olympiakos Piraeus
2020-21,2021-04-08,Arsenal,Europa Lg,Home,Slavia Praha
2020-21,2021-04-15,Arsenal,Europa Lg,Away,Slavia Praha
2020-21,2021-04-29,Arsenal,Europa Lg,Away,Villarreal CF
2020-21,2021-05-06,Arsenal,Europa Lg,Home,Villarreal CF
2020-21,2020-10-22,Leicester,Europa Lg,Home,Zorya Lugansk
2020-21,2020-10-29,Leicester,Europa Lg,Away,AEK Athen
2020-21,2020-11-05,Leicester,Europa Lg,Home,Sporting Braga
2020-21,2020-11-26,Leicester,Europa Lg,Away,Sporting Braga
2020-21,2020-12-03,Leicester,Europa Lg,Away,Zorya Lugansk
2020-21,2020-12-10,Leicester,Europa Lg,Home,AEK Athen
2020-21,2021-02-18,Leicester,Europa Lg,Away,Slavia Praha
2020-21,2021-02-25,Leicester,Europa Lg,Home,Slavia Praha
2020-21,2021-02-18,Man United,Europa Lg,Away,Real Sociedad
2020-21,2021-02-25,Man United,Europa Lg,Home,Real Sociedad
2020-21,2021-03-11,Man United,Europa Lg,Home,AC Milan
2020-21,2021-03-18,Man United,Europa Lg,Away,AC Milan
2020-21,2021-04-08,Man United,Europa Lg,Away,Granada CF
2020-21,2021-04-15,Man United,Europa Lg,Home,Granada CF
2020-21,2021-04-29,Man United,Europa Lg,Home,AS Roma
2020-21,2021-05-06,Man United,Europa Lg,Away,AS Roma
2020-21,2020-10-22,Tottenham,Europa Lg,Home,LASK
2020-21,2020-10-29,Tottenham,Europa Lg,Away,Royal Antwerp FC
2020-21,2020-11-05,Tottenham,Europa Lg,Away,PFC Ludogorets Razgrad
2020-21,2020-11-26,Tottenham,Europa Lg,Home,PFC Ludogorets Razgrad
2020-21,2020-12-03,Tottenham,Europa Lg,Away,LASK
2020-21,2020-12-10,Tottenham,Europa Lg,Home,Royal Antwerp FC
2020-21,2021-02-18,Tottenham,Europa Lg,Away,Wolfsberger AC
2020-21,2021-02-24,Tottenham,Europa Lg,Home,Wolfsberger AC
2020-21,2021-03-11,Tottenham,Europa Lg,Home,Dinamo Zagreb
2020-21,2021-03-18,Tottenham,Europa Lg,Away,Dinamo Zagreb
