Season,Date,Team,Comp,Venue,Opponent
2018-19,2019-01-05,Arsenal,FA Cup,Away,Blackpool
2018-19,2019-01-25,Arsenal,FA Cup,Home,Man United
2018-19,2019-01-05,Bournemouth,FA Cup,Home,Brighton
2018-19,2019-01-05,Brighton,FA Cup,Away,Bournemouth
2018-19,2019-01-26,Brighton,FA Cup,Home,West Brom
2018-19,2019-02-06,Brighton,FA Cup,Away,West Brom
2018-19,2019-02-16,Brighton,FA Cup,Home,Derby County
2018-19,2019-03-17,Brighton,FA Cup,Away,Millwall
2018-19,2019-04-06,Brighton,FA Cup,Away,Man City
2018-19,2019-01-05,Burnley,FA Cup,Home,Barnsley
2018-19,2019-01-26,Burnley,FA Cup,Away,Man City
2018-19,2019-01-05,Cardiff,FA Cup,Away,Gillingham
2018-19,2019-01-05,Chelsea,FA Cup,Home,Nottingham Forest
2018-19,2019-01-27,Chelsea,FA Cup,Home,Sheffield Wednesday
2018-19,2019-02-18,Chelsea,FA Cup,Home,Man United
2018-19,2019-01-05,Crystal Palace,FA Cup,Home,Grimsby Town
2018-19,2019-01-27,Crystal Palace,FA Cup,Home,Tottenham
2018-19,2019-02-17,Crystal Palace,FA Cup,Away,Doncaster Rovers
2018-19,2019-03-16,Crystal Palace,FA Cup,Away,Watford
2018-19,2019-01-05,Everton,FA Cup,Home,Lincoln City
2018-19,2019-01-26,Everton,FA Cup,Away,Millwall
2018-19,2019-01-06,Fulham,FA Cup,Home,Oldham Athletic
2018-19,2019-01-05,Huddersfield,FA Cup,Away,Bristol City
2018-19,2019-01-06,Leicester,FA Cup,Away,Newport County
2018-19,2019-01-07,Liverpool,FA Cup,Away,Wolves
2018-19,2019-01-06,Man City,FA Cup,Home,Rotherham United
2018-19,2019-01-26,Man City,FA Cup,Home,Burnley
2018-19,2019-02-16,Man City,FA Cup,Away,Newport County
2018-19,2019-03-16,Man City,FA Cup,Away,Swansea
2018-19,2019-04-06,Man City,FA Cup,Away,Brighton
2018-19,2019-05-18,Man City,FA Cup,Away,Watford
2018-19,2019-01-05,Man United,FA Cup,Home,Reading
2018-19,2019-01-25,Man United,FA Cup,Away,Arsenal
2018-19,2019-02-18,Man United,FA Cup,Away,Chelsea
2018-19,2019-03-16,Man United,FA Cup,Away,Wolves
2018-19,2019-01-05,Newcastle,FA Cup,Home,Blackburn Rovers
2018-19,2019-01-15,Newcastle,FA Cup,Away,Blackburn Rovers
2018-19,2019-01-26,Newcastle,FA Cup,Home,Watford
2018-19,2019-01-05,Southampton,FA Cup,Away,Derby County
2018-19,2019-01-16,Southampton,FA Cup,Home,Derby County
2018-19,2019-01-04,Tottenham,FA Cup,Away,Tranmere Rovers
2018-19,2019-01-27,Tottenham,FA Cup,Away,Crystal Palace
2018-19,2019-01-06,Watford,FA Cup,Away,Woking
2018-19,2019-01-26,Watford,FA Cup,Away,Newcastle
2018-19,2019-02-15,Watford,FA Cup,Away,Queens Park Rangers
2018-19,2019-03-16,Watford,FA Cup,Home,Crystal Palace
2018-19,2019-04-07,Watford,FA Cup,Away,Wolves
2018-19,2019-05-18,Watford,FA Cup,Away,Man City
2018-19,2019-01-05,West Ham,FA Cup,Home,Birmingham City
2018-19,2019-01-26,West Ham,FA Cup,Away,AFC Wimbledon
2018-19,2019-01-07,Wolves,FA Cup,Home,Liverpool
2018-19,2019-01-26,Wolves,FA Cup,Away,Shrewsbury Town
2018-19,2019-02-05,Wolves,FA Cup,Home,Shrewsbury Town
2018-19,2019-02-17,Wolves,FA Cup,Away,Bristol City
2018-19,2019-03-16,Wolves,FA Cup,Home,Man United
2018-19,2019-04-07,Wolves,FA Cup,Away,Watford
