Season,Date,Team,Comp,Venue,Opponent
2024-25,2024-09-19,Arsenal,Champions Lg,Away,Atalanta
2024-25,2024-10-01,Arsenal,Champions Lg,Home,Paris Saint Germain
2024-25,2024-10-22,Arsenal,Champions Lg,Home,Shakhtar Donetsk
2024-25,2024-11-06,Arsenal,Champions Lg,Away,Inter
2024-25,2024-11-26,Arsenal,Champions Lg,Away,Sporting CP
2024-25,2024-12-11,Arsenal,Champions Lg,Home,Monaco
2024-25,2025-01-22,Arsenal,Champions Lg,Home,Dinamo Zagreb
2024-25,2025-01-29,Arsenal,Champions Lg,Away,Girona
2024-25,2025-03-04,Arsenal,Champions Lg,Away,PSV Eindhoven
2024-25,2025-03-12,Arsenal,Champions Lg,Home,PSV Eindhoven
2024-25,2025-04-08,Arsenal,Champions Lg,Home,Real Madrid
2024-25,2025-04-16,Arsenal,Champions Lg,Away,Real Madrid
2024-25,2025-04-29,Arsenal,Champions Lg,Home,Paris Saint Germain
2024-25,2025-05-07,Arsenal,Champions Lg,Away,Paris Saint Germain
2024-25,2024-09-17,Aston Villa,Champions Lg,Away,BSC Young Boys
2024-25,2024-10-02,Aston Villa,Champions Lg,Home,Bayern München
2024-25,2024-10-22,Aston Villa,Champions Lg,Home,Bologna
2024-25,2024-11-06,Aston Villa,Champions Lg,Away,Club Brugge KV
2024-25,2024-11-27,Aston Villa,Champions Lg,Home,Juventus
2024-25,2024-12-10,Aston Villa,Champions Lg,Away,RB Leipzig
2024-25,2025-01-21,Aston Villa,Champions Lg,Away,Monaco
2024-25,2025-01-29,Aston Villa,Champions Lg,Home,Celtic
2024-25,2025-03-04,Aston Villa,Champions Lg,Away,Club Brugge KV
2024-25,2025-03-12,Aston Villa,Champions Lg,Home,Club Brugge KV
2024-25,2025-04-09,Aston Villa,Champions Lg,Away,Paris Saint Germain
2024-25,2025-04-15,Aston Villa,Champions Lg,Home,Paris Saint Germain
2024-25,2024-09-17,Liverpool,Champions Lg,Away,AC Milan
2024-25,2024-10-02,Liverpool,Champions Lg,Home,Bologna
2024-25,2024-10-23,Liverpool,Champions Lg,Away,RB Leipzig
2024-25,2024-11-05,Liverpool,Champions Lg,Home,Bayer Leverkusen
2024-25,2024-11-27,Liverpool,Champions Lg,Home,Real Madrid
2024-25,2024-12-10,Liverpool,Champions Lg,Away,Girona
2024-25,2025-01-21,Liverpool,Champions Lg,Home,Lille
2024-25,2025-01-29,Liverpool,Champions Lg,Away,PSV Eindhoven
2024-25,2025-03-05,Liverpool,Champions Lg,Away,Paris Saint Germain
2024-25,2025-03-11,Liverpool,Champions Lg,Home,Paris Saint Germain
2024-25,2024-09-18,Man City,Champions Lg,Home,Inter
2024-25,2024-10-01,Man City,Champions Lg,Away,Slovan Bratislava
2024-25,2024-10-23,Man City,Champions Lg,Home,Sparta Praha
2024-25,2024-11-05,Man City,Champions Lg,Away,Sporting CP
2024-25,2024-11-26,Man City,Champions Lg,Home,Feyenoord
2024-25,2024-12-11,Man City,Champions Lg,Away,Juventus
2024-25,2025-01-22,Man City,Champions Lg,Away,Paris Saint Germain
2024-25,2025-01-29,Man City,Champions Lg,Home,Club Brugge KV
2024-25,2025-02-11,Man City,Champions Lg,Home,Real Madrid
2024-25,2025-02-19,Man City,Champions Lg,Away,Real Madrid
