Season,Date,Team,Comp,Venue,Opponent
2022-23,2022-11-09,Arsenal,EFL Cup,Home,Brighton
2022-23,2022-08-23,Aston Villa,EFL Cup,Away,Bolton
2022-23,2022-11-10,Aston Villa,EFL Cup,Away,Man United
2022-23,2022-08-23,Bournemouth,EFL Cup,Away,Norwich
2022-23,2022-11-08,Bournemouth,EFL Cup,Home,Everton
2022-23,2022-12-20,Bournemouth,EFL Cup,Away,Newcastle
2022-23,2022-08-23,Brentford,EFL Cup,Away,Colchester
2022-23,2022-11-08,Brentford,EFL Cup,Home,Gillingham
2022-23,2022-08-24,Brighton,EFL Cup,Away,Forest Green
2022-23,2022-11-09,Brighton,EFL Cup,Away,Arsenal
2022-23,2022-12-21,Brighton,EFL Cup,Away,Charlton
2022-23,2022-08-23,Burnley,EFL Cup,Away,Shrewsbury
2022-23,2022-11-08,Burnley,EFL Cup,Home,Crawley Town
2022-23,2022-12-21,Burnley,EFL Cup,Away,Man United
2022-23,2022-08-09,Cardiff,EFL Cup,Home,Portsmouth
2022-23,2022-11-09,Chelsea,EFL Cup,Away,Man City
2022-23,2022-08-23,Crystal Palace,EFL Cup,Away,Oxford United
2022-23,2022-11-09,Crystal Palace,EFL Cup,Away,Newcastle
2022-23,2022-08-23,Everton,EFL Cup,Away,Fleetwood Town
2022-23,2022-11-08,Everton,EFL Cup,Away,Bournemouth
2022-23,2022-08-23,Fulham,EFL Cup,Away,Crawley Town
2022-23,2022-08-09,Huddersfield,EFL Cup,Home,Preston
2022-23,2022-08-09,Hull,EFL Cup,Away,Bradford
2022-23,2022-08-09,Ipswich,EFL Cup,Home,Colchester
2022-23,2022-08-24,Leeds,EFL Cup,Home,Barnsley
2022-23,2022-11-09,Leeds,EFL Cup,Away,Wolves
2022-23,2022-08-23,Leicester,EFL Cup,Away,Stockport County
2022-23,2022-11-08,Leicester,EFL Cup,Home,Newport County
2022-23,2022-12-20,Leicester,EFL Cup,Away,Milton Keynes Dons
2022-23,2023-01-10,Leicester,EFL Cup,Away,Newcastle
2022-23,2022-11-09,Liverpool,EFL Cup,Home,Derby
2022-23,2022-12-22,Liverpool,EFL Cup,Away,Man City
2022-23,2022-08-09,Luton,EFL Cup,Home,Newport County
2022-23,2022-11-09,Man City,EFL Cup,Home,Chelsea
2022-23,2022-12-22,Man City,EFL Cup,Home,Liverpool
2022-23,2023-01-11,Man City,EFL Cup,Away,Southampton
2022-23,2022-11-10,Man United,EFL Cup,Home,Aston Villa
2022-23,2022-12-21,Man United,EFL Cup,Home,Burnley
2022-23,2023-01-10,Man United,EFL Cup,Home,Charlton
2022-23,2023-01-25,Man United,EFL Cup,Away,Nott'm Forest
2022-23,2023-02-01,Man United,EFL Cup,Home,Nott'm Forest
2022-23,2023-02-26,Man United,EFL Cup,Home,Newcastle
2022-23,2022-08-10,Middlesbrough,EFL Cup,Home,Barnsley
2022-23,2022-08-24,Newcastle,EFL Cup,Away,Tranmere
2022-23,2022-11-09,Newcastle,EFL Cup,Home,Crystal Palace
2022-23,2022-12-20,Newcastle,EFL Cup,Home,Bournemouth
2022-23,2023-01-10,Newcastle,EFL Cup,Home,Leicester
2022-23,2023-01-24,Newcastle,EFL Cup,Away,Southampton
2022-23,2023-01-31,Newcastle,EFL Cup,Home,Southampton
2022-23,2023-02-26,Newcastle,EFL Cup,Away,Man United
2022-23,2022-08-23,Nott'm Forest,EFL Cup,Away,Grimsby
2022-23,2022-11-09,Nott'm Forest,EFL Cup,Home,Tottenham
2022-23,2022-12-21,Nott'm Forest,EFL Cup,Away,Blackburn
2022-23,2023-01-11,Nott'm Forest,EFL Cup,Home,Wolves
2022-23,2023-01-25,Nott'm Forest,EFL Cup,Home,Man United
2022-23,2023-02-01,Nott'm Forest,EFL Cup,Away,Man United
2022-23,2022-08-11,Sheffield United,EFL Cup,Away,West Brom
2022-23,2022-08-23,Southampton,EFL Cup,Away,Cambridge United
2022-23,2022-11-09,Southampton,EFL Cup,Home,Sheffield Wednesday
2022-23,2022-12-20,Southampton,EFL Cup,Home,Lincoln
2022-23,2023-01-11,Southampton,EFL Cup,Home,Man City
2022-23,2023-01-24,Southampton,EFL Cup,Home,Newcastle
2022-23,2023-01-31,Southampton,EFL Cup,Away,Newcastle
2022-23,2022-08-09,Stoke,EFL Cup,Away,Morecambe
2022-23,2022-08-10,Sunderland,EFL Cup,Away,Sheffield Wednesday
2022-23,2022-08-09,Swansea,EFL Cup,Away,Oxford United
2022-23,2022-11-09,Tottenham,EFL Cup,Away,Nott'm Forest
2022-23,2022-08-23,Watford,EFL Cup,Home,Milton Keynes Dons
2022-23,2022-08-11,West Brom,EFL Cup,Home,Sheffield United
2022-23,2022-08-23,West Brom,EFL Cup,Away,Derby
2022-23,2022-11-09,West Ham,EFL Cup,Home,Blackburn
2022-23,2022-08-23,Wolves,EFL Cup,Home,Preston
2022-23,2022-11-09,Wolves,EFL Cup,Home,Leeds
2022-23,2022-12-20,Wolves,EFL Cup,Home,Gillingham
2022-23,2023-01-11,Wolves,EFL Cup,Away,Nott'm Forest
