Season,Date,Team,Comp,Venue,Opponent
2018-19,2018-09-20,Arsenal,Europa Lg,Home,Vorskla Poltava
2018-19,2018-10-04,Arsenal,Europa Lg,Away,Qarabag
2018-19,2018-10-25,Arsenal,Europa Lg,Away,Sporting CP
2018-19,2018-11-08,Arsenal,Europa Lg,Home,Sporting CP
2018-19,2018-11-29,Arsenal,Europa Lg,Away,Vorskla Poltava
2018-19,2018-12-13,Arsenal,Europa Lg,Home,Qarabag
2018-19,2019-02-14,Arsenal,Europa Lg,Away,BATE Borisov
2018-19,2019-02-21,Arsenal,Europa Lg,Home,BATE Borisov
2018-19,2019-03-07,Arsenal,Europa Lg,Away,Stade Rennais
2018-19,2019-03-14,Arsenal,Europa Lg,Home,Stade Rennais
2018-19,2019-04-11,Arsenal,Europa Lg,Home,Napoli
2018-19,2019-04-18,Arsenal,Europa Lg,Away,Napoli
2018-19,2019-05-02,Arsenal,Europa Lg,Home,Valencia
2018-19,2019-05-09,Arsenal,Europa Lg,Away,Valencia
2018-19,2019-05-29,Arsenal,Europa Lg,Away,Chelsea
2018-19,2018-07-26,Burnley,Europa Lg,Away,Aberdeen
2018-19,2018-08-02,Burnley,Europa Lg,Home,Aberdeen
2018-19,2018-08-09,Burnley,Europa Lg,Away,Istanbul Basaksehir
2018-19,2018-08-16,Burnley,Europa Lg,Home,Istanbul Basaksehir
2018-19,2018-08-23,Burnley,Europa Lg,Away,Olympiacos
2018-19,2018-08-30,Burnley,Europa Lg,Home,Olympiacos
2018-19,2018-09-20,Chelsea,Europa Lg,Away,PAOK
2018-19,2018-10-04,Chelsea,Europa Lg,Home,Vidi
2018-19,2018-10-25,Chelsea,Europa Lg,Home,BATE Borisov
2018-19,2018-11-08,Chelsea,Europa Lg,Away,BATE Borisov
2018-19,2018-11-29,Chelsea,Europa Lg,Home,PAOK
2018-19,2018-12-13,Chelsea,Europa Lg,Away,Vidi
2018-19,2019-02-14,Chelsea,Europa Lg,Away,Malmo FF
2018-19,2019-02-21,Chelsea,Europa Lg,Home,Malmo FF
2018-19,2019-03-07,Chelsea,Europa Lg,Home,Dynamo Kyiv
2018-19,2019-03-14,Chelsea,Europa Lg,Away,Dynamo Kyiv
2018-19,2019-04-11,Chelsea,Europa Lg,Away,Slavia Prague
2018-19,2019-04-18,Chelsea,Europa Lg,Home,Slavia Prague
2018-19,2019-05-02,Chelsea,Europa Lg,Away,Eintracht Frankfurt
2018-19,2019-05-09,Chelsea,Europa Lg,Home,Eintracht Frankfurt
2018-19,2019-05-29,Chelsea,Europa Lg,Home,Arsenal
