Season,Date,Team,Comp,Venue,Opponent
2021-22,2022-01-09,Arsenal,FA Cup,Away,Nottingham Forest
2021-22,2022-01-10,Aston Villa,FA Cup,Away,Man United
2021-22,2022-01-08,Brentford,FA Cup,Away,Port Vale
2021-22,2022-02-05,Brentford,FA Cup,Away,Everton
2021-22,2022-01-08,Brighton,FA Cup,Away,West Brom
2021-22,2022-02-05,Brighton,FA Cup,Away,Tottenham
2021-22,2022-01-08,Burnley,FA Cup,Home,Huddersfield
2021-22,2022-01-08,Chelsea,FA Cup,Home,Chesterfield
2021-22,2022-02-05,Chelsea,FA Cup,Home,Plymouth Argyle
2021-22,2022-03-02,Chelsea,FA Cup,Away,Luton Town
2021-22,2022-03-19,Chelsea,FA Cup,Away,Middlesbrough
2021-22,2022-04-17,Chelsea,FA Cup,Away,Crystal Palace
2021-22,2022-05-14,Chelsea,FA Cup,Away,Liverpool
2021-22,2022-01-08,Crystal Palace,FA Cup,Away,Millwall
2021-22,2022-02-05,Crystal Palace,FA Cup,Home,Hartlepool United
2021-22,2022-03-01,Crystal Palace,FA Cup,Home,Stoke
2021-22,2022-03-20,Crystal Palace,FA Cup,Home,Everton
2021-22,2022-04-17,Crystal Palace,FA Cup,Away,Chelsea
2021-22,2022-01-08,Everton,FA Cup,Away,Hull
2021-22,2022-02-05,Everton,FA Cup,Home,Brentford
2021-22,2022-03-03,Everton,FA Cup,Home,Boreham Wood
2021-22,2022-03-20,Everton,FA Cup,Away,Crystal Palace
2021-22,2022-01-09,Leeds,FA Cup,Away,West Ham
2021-22,2022-01-08,Leicester,FA Cup,Home,Watford
2021-22,2022-02-06,Leicester,FA Cup,Away,Nottingham Forest
2021-22,2022-01-09,Liverpool,FA Cup,Home,Shrewsbury Town
2021-22,2022-02-06,Liverpool,FA Cup,Home,Cardiff
2021-22,2022-03-02,Liverpool,FA Cup,Home,Norwich
2021-22,2022-03-20,Liverpool,FA Cup,Away,Nottingham Forest
2021-22,2022-04-16,Liverpool,FA Cup,Away,Man City
2021-22,2022-05-14,Liverpool,FA Cup,Away,Chelsea
2021-22,2022-01-07,Man City,FA Cup,Away,Swindon Town
2021-22,2022-02-05,Man City,FA Cup,Home,Fulham
2021-22,2022-03-01,Man City,FA Cup,Away,Peterborough United
2021-22,2022-03-20,Man City,FA Cup,Away,Southampton
2021-22,2022-04-16,Man City,FA Cup,Away,Liverpool
2021-22,2022-01-10,Man United,FA Cup,Home,Aston Villa
2021-22,2022-02-04,Man United,FA Cup,Home,Middlesbrough
2021-22,2022-01-08,Newcastle,FA Cup,Home,Cambridge United
2021-22,2022-01-09,Norwich,FA Cup,Away,Charlton Athletic
2021-22,2022-02-05,Norwich,FA Cup,Away,Wolves
2021-22,2022-03-02,Norwich,FA Cup,Away,Liverpool
2021-22,2022-01-08,Southampton,FA Cup,Away,Swansea
2021-22,2022-02-05,Southampton,FA Cup,Home,Coventry City
2021-22,2022-03-02,Southampton,FA Cup,Home,West Ham
2021-22,2022-03-20,Southampton,FA Cup,Home,Man City
2021-22,2022-01-09,Tottenham,FA Cup,Home,Morecambe
2021-22,2022-02-05,Tottenham,FA Cup,Home,Brighton
2021-22,2022-03-01,Tottenham,FA Cup,Away,Middlesbrough
2021-22,2022-01-08,Watford,FA Cup,Away,Leicester
2021-22,2022-01-09,West Ham,FA Cup,Home,Leeds
2021-22,2022-02-05,West Ham,FA Cup,Away,Kidderminster Harriers
2021-22,2022-03-02,West Ham,FA Cup,Away,Southampton
2021-22,2022-01-09,Wolves,FA Cup,Home,Sheffield United
2021-22,2022-02-05,Wolves,FA Cup,Home,Norwich
