Season,Date,Team,Comp,Venue,Opponent
2025-26,2025-08-12,Ipswich,EFL Cup,Away,Bromley
2025-26,2025-08-12,Luton,EFL Cup,Away,Coventry City
2025-26,2025-08-12,Middlesbrough,EFL Cup,Home,Doncaster Rovers
2025-26,2025-08-12,Southampton,EFL Cup,Away,Northampton Town
2025-26,2025-08-12,Watford,EFL Cup,Home,Norwich
2025-26,2025-08-12,West Brom,EFL Cup,Home,Derby County
2025-26,2025-08-13,Leicester,EFL Cup,Away,Huddersfield Town
2025-26,2025-08-13,Sheffield United,EFL Cup,Away,Birmingham City
2025-26,2025-08-26,Bournemouth,EFL Cup,Home,Brentford
2025-26,2025-08-26,Brentford,EFL Cup,Away,Bournemouth
2025-26,2025-08-26,Burnley,EFL Cup,Home,Derby County
2025-26,2025-08-26,Leeds,EFL Cup,Away,Sheffield Wednesday
2025-26,2025-08-26,Southampton,EFL Cup,Away,Norwich
2025-26,2025-08-26,Sunderland,EFL Cup,Home,Huddersfield Town
2025-26,2025-08-26,West Ham,EFL Cup,Away,Wolverhampton
2025-26,2025-08-27,Brighton,EFL Cup,Away,Oxford United
2025-26,2025-08-27,Everton,EFL Cup,Home,Mansfield Town
2025-26,2025-08-27,Fulham,EFL Cup,Home,Bristol City
2025-26,2025-08-27,Man United,EFL Cup,Away,Grimsby Town
2025-26,2025-09-16,Aston Villa,EFL Cup,Away,Brentford
2025-26,2025-09-16,Brentford,EFL Cup,Home,Aston Villa
2025-26,2025-09-16,Crystal Palace,EFL Cup,Home,Millwall
2025-26,2025-09-17,Nott'm Forest,EFL Cup,Away,Swansea City
2025-26,2025-09-23,Brighton,EFL Cup,Away,Barnsley
2025-26,2025-09-23,Burnley,EFL Cup,Home,Cardiff City
2025-26,2025-09-23,Chelsea,EFL Cup,Away,Lincoln City
2025-26,2025-09-23,Everton,EFL Cup,Away,Wolverhampton
2025-26,2025-09-23,Fulham,EFL Cup,Home,Cambridge United
2025-26,2025-09-23,Liverpool,EFL Cup,Home,Southampton
2025-26,2025-09-23,Southampton,EFL Cup,Away,Liverpool
2025-26,2025-09-24,Arsenal,EFL Cup,Away,Port Vale
2025-26,2025-09-24,Man City,EFL Cup,Away,Huddersfield Town
2025-26,2025-09-24,Newcastle,EFL Cup,Home,Bradford City
2025-26,2025-09-24,Tottenham,EFL Cup,Home,Doncaster Rovers
2025-26,2025-10-28,Brentford,EFL Cup,Away,Grimsby Town
2025-26,2025-10-28,Fulham,EFL Cup,Away,Wycombe Wanderers
2025-26,2025-10-29,Arsenal,EFL Cup,Home,Brighton
2025-26,2025-10-29,Brighton,EFL Cup,Away,Arsenal
2025-26,2025-10-29,Chelsea,EFL Cup,Away,Wolverhampton
2025-26,2025-10-29,Crystal Palace,EFL Cup,Away,Liverpool
2025-26,2025-10-29,Liverpool,EFL Cup,Home,Crystal Palace
2025-26,2025-10-29,Man City,EFL Cup,Away,Swansea City
2025-26,2025-10-29,Newcastle,EFL Cup,Home,Tottenham
2025-26,2025-10-29,Tottenham,EFL Cup,Away,Newcastle
2025-26,2025-12-16,Chelsea,EFL Cup,Away,Cardiff City
2025-26,2025-12-17,Brentford,EFL Cup,Away,Man City
2025-26,2025-12-17,Fulham,EFL Cup,Away,Newcastle
2025-26,2025-12-17,Man City,EFL Cup,Home,Brentford
2025-26,2025-12-17,Newcastle,EFL Cup,Home,Fulham
2025-26,2025-12-23,Arsenal,EFL Cup,Home,Crystal Palace
2025-26,2025-12-23,Crystal Palace,EFL Cup,Away,Arsenal
2025-26,2026-01-13,Man City,EFL Cup,Away,Newcastle
2025-26,2026-01-13,Newcastle,EFL Cup,Home,Man City
2025-26,2026-01-14,Arsenal,EFL Cup,Away,Chelsea
2025-26,2026-01-14,Chelsea,EFL Cup,Home,Arsenal
2025-26,2026-02-03,Arsenal,EFL Cup,Home,Chelsea
2025-26,2026-02-03,Chelsea,EFL Cup,Away,Arsenal
2025-26,2026-02-04,Man City,EFL Cup,Home,Newcastle
2025-26,2026-02-04,Newcastle,EFL Cup,Away,Man City
