Season,Date,Team,Comp,Venue,Opponent
2018-19,2018-09-18,Liverpool,Champions Lg,Home,Paris Saint-Germain
2018-19,2018-10-03,Liverpool,Champions Lg,Away,SSC Napoli
2018-19,2018-10-24,Liverpool,Champions Lg,Home,Crvena Zvezda
2018-19,2018-11-06,Liverpool,Champions Lg,Away,Crvena Zvezda
2018-19,2018-11-28,Liverpool,Champions Lg,Away,Paris Saint-Germain
2018-19,2018-12-11,Liverpool,Champions Lg,Home,SSC Napoli
2018-19,2019-02-19,Liverpool,Champions Lg,Home,Bayern München
2018-19,2019-03-13,Liverpool,Champions Lg,Away,Bayern München
2018-19,2019-04-09,Liverpool,Champions Lg,Home,FC Porto
2018-19,2019-04-17,Liverpool,Champions Lg,Away,FC Porto
2018-19,2019-05-01,Liverpool,Champions Lg,Away,FC Barcelona
2018-19,2019-05-07,Liverpool,Champions Lg,Home,FC Barcelona
2018-19,2019-06-01,Liverpool,Champions Lg,Away,Tottenham
2018-19,2018-09-19,Man City,Champions Lg,Home,Olympique Lyonnais
2018-19,2018-10-02,Man City,Champions Lg,Away,1899 Hoffenheim
2018-19,2018-10-23,Man City,Champions Lg,Away,Shakhtar Donetsk
2018-19,2018-11-07,Man City,Champions Lg,Home,Shakhtar Donetsk
2018-19,2018-11-27,Man City,Champions Lg,Away,Olympique Lyonnais
2018-19,2018-12-12,Man City,Champions Lg,Home,1899 Hoffenheim
2018-19,2019-02-20,Man City,Champions Lg,Away,FC Schalke 04
2018-19,2019-03-12,Man City,Champions Lg,Home,FC Schalke 04
2018-19,2019-04-09,Man City,Champions Lg,Away,Tottenham
2018-19,2019-04-17,Man City,Champions Lg,Home,Tottenham
2018-19,2018-09-19,Man United,Champions Lg,Away,BSC Young Boys
2018-19,2018-10-02,Man United,Champions Lg,Home,Valencia CF
2018-19,2018-10-23,Man United,Champions Lg,Home,Juventus
2018-19,2018-11-07,Man United,Champions Lg,Away,Juventus
2018-19,2018-11-27,Man United,Champions Lg,Home,BSC Young Boys
2018-19,2018-12-12,Man United,Champions Lg,Away,Valencia CF
2018-19,2019-02-12,Man United,Champions Lg,Home,Paris Saint-Germain
2018-19,2019-03-06,Man United,Champions Lg,Away,Paris Saint-Germain
2018-19,2019-04-10,Man United,Champions Lg,Home,FC Barcelona
2018-19,2019-04-16,Man United,Champions Lg,Away,FC Barcelona
2018-19,2018-09-18,Tottenham,Champions Lg,Away,Inter
2018-19,2018-10-03,Tottenham,Champions Lg,Home,FC Barcelona
2018-19,2018-10-24,Tottenham,Champions Lg,Away,PSV Eindhoven
2018-19,2018-11-06,Tottenham,Champions Lg,Home,PSV Eindhoven
2018-19,2018-11-28,Tottenham,Champions Lg,Home,Inter
2018-19,2018-12-11,Tottenham,Champions Lg,Away,FC Barcelona
2018-19,2019-02-13,Tottenham,Champions Lg,Home,Borussia Dortmund
2018-19,2019-03-05,Tottenham,Champions Lg,Away,Borussia Dortmund
2018-19,2019-04-09,Tottenham,Champions Lg,Home,Man City
2018-19,2019-04-17,Tottenham,Champions Lg,Away,Man City
2018-19,2019-04-30,Tottenham,Champions Lg,Home,AFC Ajax
2018-19,2019-05-08,Tottenham,Champions Lg,Away,AFC Ajax
2018-19,2019-06-01,Tottenham,Champions Lg,Home,Liverpool
