Season,Date,Team,Comp,Venue,Opponent
2024-25,2024-09-25,Man United,Europa Lg,Home,Twente
2024-25,2024-10-03,Man United,Europa Lg,Away,FC Porto
2024-25,2024-10-24,Man United,Europa Lg,Away,Fenerbahçe
2024-25,2024-11-07,Man United,Europa Lg,Home,PAOK
2024-25,2024-11-28,Man United,Europa Lg,Home,Bodo/Glimt
2024-25,2024-12-12,Man United,Europa Lg,Away,Plzen
2024-25,2025-01-23,Man United,Europa Lg,Home,Rangers
2024-25,2025-01-30,Man United,Europa Lg,Away,FCSB
2024-25,2025-03-06,Man United,Europa Lg,Away,Real Sociedad
2024-25,2025-03-13,Man United,Europa Lg,Home,Real Sociedad
2024-25,2025-04-10,Man United,Europa Lg,Away,Lyon
2024-25,2025-04-17,Man United,Europa Lg,Home,Lyon
2024-25,2025-05-01,Man United,Europa Lg,Away,Athletic Club
2024-25,2025-05-08,Man United,Europa Lg,Home,Athletic Club
2024-25,2025-05-21,Man United,Europa Lg,Away,Tottenham
2024-25,2024-09-26,Tottenham,Europa Lg,Home,Qarabag
2024-25,2024-10-03,Tottenham,Europa Lg,Away,Ferencvarosi TC
2024-25,2024-10-24,Tottenham,Europa Lg,Home,AZ Alkmaar
2024-25,2024-11-07,Tottenham,Europa Lg,Away,Galatasaray
2024-25,2024-11-28,Tottenham,Europa Lg,Home,AS Roma
2024-25,2024-12-12,Tottenham,Europa Lg,Away,Rangers
2024-25,2025-01-23,Tottenham,Europa Lg,Away,1899 Hoffenheim
2024-25,2025-01-30,Tottenham,Europa Lg,Home,IF Elfsborg
2024-25,2025-03-06,Tottenham,Europa Lg,Away,AZ Alkmaar
2024-25,2025-03-13,Tottenham,Europa Lg,Home,AZ Alkmaar
2024-25,2025-04-10,Tottenham,Europa Lg,Home,Eintracht Frankfurt
2024-25,2025-04-17,Tottenham,Europa Lg,Away,Eintracht Frankfurt
2024-25,2025-05-01,Tottenham,Europa Lg,Home,Bodo/Glimt
2024-25,2025-05-08,Tottenham,Europa Lg,Away,Bodo/Glimt
2024-25,2025-05-21,Tottenham,Europa Lg,Home,Man United
