feature,intrinsic,perm_mean,perm_std,intrinsic_pct,perm_pct_pos
Elo_Diff,0.08522287252295017,-0.00027549830477994195,0.0019422694217405413,8.522287252295017,0.0
AT_xG_Avg,0.08239454807502751,0.002165137129196593,0.001522529939836776,8.239454807502751,21.512604639031455
HT_Elo,0.0807379058403452,0.0005665947097346358,0.001874412291287639,8.07379058403452,5.629633253580985
Corner_Dominance_Diff,0.07211794599387543,-0.0027043743405038125,0.001606328625602474,7.2117945993875425,0.0
AT_Fouls5,0.06920062481663761,-0.00035109900737145816,0.0018372354138046932,6.920062481663761,0.0
HT_CornersTotal5,0.06643202125984544,0.0019635108982901106,0.0018928666637493697,6.643202125984544,19.50926483581136
HT_CornersFor5,0.0599954884289023,7.271795436960548e-05,0.0012344444048422191,5.99954884289023,0.7225189487618873
HT_AvgShotsTarget,0.05950017046739002,0.002823342229752701,0.001883639101267497,5.950017046739002,28.05247036333857
AT_AvgShotsTarget,0.055913631379350556,2.854704213672843e-05,0.0008137877576067404,5.591363137935056,0.283640801693281
Position_Diff,0.050376979342879276,-0.0003577879161615671,0.0028599855240998093,5.037697934287928,0.0
AT_Position,0.04755815316316069,-0.001237060294415615,0.0014835862731268122,4.7558153163160695,0.0
HT_Position,0.04648743870155408,-0.003920128244805987,0.0009668065245210789,4.648743870155408,0.0
HT_AvgGoals,0.045430832771435406,-0.0028445070029286534,0.0010788530336589182,4.54308327714354,0.0
HT_Pressure,0.045133073029051285,0.0012392771194353446,0.0014698576711389382,4.513307302905129,12.313344198435582
AT_AvgGoals,0.04252083220533624,-0.000123507968355141,0.0009438849475063571,4.252083220533624,0.0
HT_Form_L,0.024290063780097997,-0.00027559703910832176,0.0010080980277546547,2.4290063780097997,0.0
AT_Form_L,0.022813109902754723,0.00016628836688415972,0.001031078502665394,2.2813109902754722,1.6522260158997641
AT_Form_W,0.022502070230936245,0.0010390893627334695,0.0005265130936336422,2.2502070230936244,10.324296943447129
HT_Form_W,0.02137223808846987,-0.0005265362186838041,0.0009275333812577797,2.137223808846987,0.0
