feature,intrinsic,perm_mean,perm_std,intrinsic_pct,perm_pct_pos
HT_Elo,0.06490337173706745,0.0006475373148869146,0.0015526160511113584,6.490337173706746,3.5003007330857496
Elo_Diff,0.06394858699401924,0.0024087789473887676,0.002321648941092097,6.394858699401926,13.020795128785567
HT_xGA_Avg,0.06289194362708282,0.0015340545606266297,0.0015633968316604,6.289194362708283,8.292421424536254
HT_xG_Residual5,0.05982111287622134,0.002096055301536404,0.0009753459863681613,5.982111287622136,11.33034921676667
AT_xGA_Avg,0.058658792994809784,0.0020498618554096516,0.001564403089013988,5.86587929948098,11.08064784879305
xG_Total,0.05818312671779202,-0.0007052429491345546,0.0025466754744841785,5.8183126717792035,0.0
HT_xG_Avg,0.05744792019128437,-0.00041056957259916205,0.002457073004646747,5.744792019128439,0.0
AT_xG_Avg,0.055519389460383727,-0.0004106153624700459,0.0007970892717694062,5.551938946038374,0.0
xG_Diff,0.055406710437282444,0.0003679345816359425,0.001006875960140005,5.540671043728246,1.988891846414755
AT_Days_Rest,0.05511625165689043,0.0002279291052017185,0.001108629400003871,5.511625165689044,1.2320840756003149
AT_Shots5,0.054794312736613664,0.004351361584159497,0.0020975755786631226,5.479431273661368,23.52153890253351
AT_ShotsTarget5,0.045472029886051,2.125934624850334e-05,0.0018129778720862787,4.5472029886051,0.11491863642106191
HT_ShotsTarget5,0.04334325378491614,-0.002613724731256639,0.0011661916053884954,4.334325378491615,0.0
HT_AvgShotsTarget,0.0432553800733519,-0.0003146224288424704,0.0009812698858381991,4.32553800733519,0.0
H2H_Total_Goals_Avg,0.04255540330624813,0.0014375126827648077,0.0009289861303902821,4.255540330624814,7.770558671480508
AT_AvgShotsTarget,0.04073305088823904,-0.00030045944352480314,0.0007879161373558502,4.073305088823904,0.0
HT_AvgGoals,0.03489941918206002,-0.0011562609211446472,0.001196843246363128,3.4899419182060027,0.0
AT_AvgGoals,0.032048727737191716,0.0007120414676163866,0.0007652454115793393,3.2048727737191722,3.8489816938508863
H2H_BTTS_Rate,0.02860014292341391,0.000543593020227584,0.0008035750200807712,2.8600142923413916,2.9384237841725027
AT_BTTS_Rate5,0.02262928858682531,0.002101556827728668,0.0018833038303132437,2.2629288586825314,11.360088037559162
HT_BTTS_Rate5,0.019771784202255328,-0.0006750496529413508,0.0004749884664748148,1.9771784202255331,0.0
