feature,intrinsic,perm_mean,perm_std,intrinsic_pct,perm_pct_pos
Ref_Aggressiveness_Interaction,0.08809580653905869,0.0036834432775911365,0.0018058340725587779,8.809581146179577,31.769033843543976
Ref_Yellow_Avg,0.07618953287601471,0.00014091166072180972,0.0010812066363465793,7.618953713343686,1.215337655843785
AT_Form_W,0.06560742110013962,-0.00036726895094120194,0.0008158464025149715,6.560742476624017,0.0
HT_RedRate5,0.06474079191684723,-0.0008784014691895492,0.00048442453531688805,6.47407955345211,0.0
Rest_Diff,0.06358224153518677,0.0011149596112282056,0.001168871636205573,6.358224508812158,9.616325528557592
H2H_Yellow_Avg,0.060846779495477676,0.0016439771447183892,0.0010345677753689705,6.084678289555662,14.179006329839993
HT_Days_Rest,0.05659010261297226,-0.00030591181503210053,0.0008066472072348925,5.6590105775190835,0.0
HT_YellowFor5,0.05577920004725456,0.0005480684521152912,0.000793653957130141,5.5779203164160425,4.726991537987284
AT_Form_L,0.05561560392379761,0.0009876668255204169,0.0005776454156700476,5.561560703156183,8.51844821311421
AT_YellowAvg5,0.05520312488079071,1.7912396952146636e-05,0.000917047588731603,5.520312796550587,0.15449119264404382
HT_YellowAvg5,0.0537927970290184,0.0018272220318192756,0.00061647432019573,5.379280003492534,15.7594604270649
AT_Form_D,0.05211489275097847,-5.092644936213198e-05,0.0002941405153018394,5.21148956631252,0.0
HT_Form_L,0.052071463316679,0.00015425102277244473,0.00021462281521391802,5.2071466226398915,1.3303872473540004
AT_Days_Rest,0.05168561637401581,0.0004897833911490012,0.0002460655627331964,5.1685619262174844,4.224293400710137
HT_Form_D,0.051495879888534546,0.00015430144889843066,0.0005077482659219958,5.149588276609123,1.3308221635946798
Ref_Cards_Total_Avg,0.051394131034612656,0.0007346673600667653,0.0005317968454262019,5.139413390648368,6.336373460044601
AT_RedRate5,0.045194558799266815,9.72807591150593e-05,0.00015678026435500588,4.519456132470973,0.839028999700811
