edge_min,roi,n_bets,max_dd,sharpe
0.01,0.04132694938440493,731,0.3179974275254772,0.6513730891166429
0.03,0.052804878048780486,656,0.2866999999999999,0.7807252656930308
0.05,0.06296435272045028,533,0.2895999999999999,0.8170551467477675
0.07,0.11019656019656018,407,0.24059999999999987,1.2504018910424177
0.1,0.2154935622317597,233,0.19849999999999995,1.8068615729945665
0.15,0.3902985074626866,67,0.04549999999999997,1.7331522964609214
